William Azevedo [BR]	Victor Coutinho [BR]	W	3	1
William Azevedo [BR]	Carlos Lopes [BR]	W	6	2
William Azevedo [BR]	Gabriel Crispim Carneiro [BR]	W	9	3
William Azevedo [BR]	Guilherme Palitos [BR]	W	12	4
William Azevedo [BR]	Ariel Oliveira [BR]	W	15	5
William Azevedo [BR]	Fabrizio Inga Silva [PE]	W	18	6
William Azevedo [BR]	Pedro Pertusi [BR]	T	19	7
William Azevedo [BR]	Dalton Acchetta [BR]	L	19	8
William Azevedo [BR]	Gustavo Mariano [BR]	W	22	9
William Azevedo [BR]	Vinicius Correia [BR]	W	25	10
William Azevedo [BR]	Otavio Gouveia [BR]	W	28	11
William Azevedo [BR]	Leonardo Walbrinch [BR]	T	29	12
William Azevedo [BR]	Juan Andree [CL]	W	32	13
William Azevedo [BR]	Juliana Alves Marques [BR]	T	33	14
William Azevedo [BR]	Pedro Pertusi [BR]	W	36	15
William Azevedo [BR]	Leonardo Walbrinch [BR]	W	39	16
William Azevedo [BR]	Francisco Osorio [CL]	W	42	17
Francisco Osorio [CL]	Gustavo Jovanelli [BR]	W	3	1
Francisco Osorio [CL]	Diego Magalhães [BR]	W	6	2
Francisco Osorio [CL]	Leonardo Walbrinch [BR]	W	9	3
Francisco Osorio [CL]	Diego Cassiraga [AR]	T	10	4
Francisco Osorio [CL]	Rafael Koakutsu [BR]	W	13	5
Francisco Osorio [CL]	Pedro Pasqualini de Andrade [BR]	W	16	6
Francisco Osorio [CL]	Thiers Klimczuk [BR]	W	19	7
Francisco Osorio [CL]	Otavio Gouveia [BR]	L	19	8
Francisco Osorio [CL]	Juan Andree [CL]	W	22	9
Francisco Osorio [CL]	Leonardo Walbrinch [BR]	L	22	10
Francisco Osorio [CL]	Matias Matricardi [AR]	T	23	11
Francisco Osorio [CL]	Gustavo Mariano [BR]	W	26	12
Francisco Osorio [CL]	Augusto Beringuer [BR]	W	29	13
Francisco Osorio [CL]	Gabriel Pino Semedo [BR]	W	32	14
Francisco Osorio [CL]	Juan Andree [CL]	W	35	15
Francisco Osorio [CL]	João Requena [BR]	W	38	16
Francisco Osorio [CL]	William Azevedo [BR]	L	38	17
Leonardo Walbrinch [BR]	Luana Rodrigues [BR]	W	3	1
Leonardo Walbrinch [BR]	Jean Pietro Carvalho dos Santos [BR]	W	6	2
Leonardo Walbrinch [BR]	Francisco Osorio [CL]	L	6	3
Leonardo Walbrinch [BR]	Miguel Freddy [BR]	W	9	4
Leonardo Walbrinch [BR]	Cauan Oliveira [BR]	T	10	5
Leonardo Walbrinch [BR]	Douglas Borges [BR]	W	13	6
Leonardo Walbrinch [BR]	Bruno Guerra [BR]	W	16	7
Leonardo Walbrinch [BR]	André Miranda [BR]	W	19	8
Leonardo Walbrinch [BR]	Victor Freitas [BR]	W	22	9
Leonardo Walbrinch [BR]	Francisco Osorio [CL]	W	25	10
Leonardo Walbrinch [BR]	gustavo wada [BR]	W	28	11
Leonardo Walbrinch [BR]	William Azevedo [BR]	T	29	12
Leonardo Walbrinch [BR]	Dalton Acchetta [BR]	T	30	13
Leonardo Walbrinch [BR]	Pedro Pertusi [BR]	T	31	14
Leonardo Walbrinch [BR]	Dalton Acchetta [BR]	W	34	15
Leonardo Walbrinch [BR]	William Azevedo [BR]	L	34	16
João Requena [BR]	Arthur Mesquita [BR]	W	3	1
João Requena [BR]	Fernando Poblete [CL]	L	3	2
