deck1,deck2,total,win_rate
*Arceus,Arceus,12,50.0
*Arceus,Arceus,12,50.0
*Arceus,Charizard,52,55.8
*Charizard,Arceus,52,44.2
*Arceus,Chien-Pao Baxcalibur,67,50.7
*Chien-Pao Baxcalibur,Arceus,67,49.3
*Arceus,Fusion Mew,10,50.0
*Fusion Mew,Arceus,10,50.0
*Arceus,Gardevoir,64,40.6
*Gardevoir,Arceus,64,59.4
*Arceus,Giratina LZ Box,51,41.2
*Giratina LZ Box,Arceus,51,58.8
*Arceus,Inteleon Urshifu,34,17.6
*Inteleon Urshifu,Arceus,34,82.4
*Arceus,Lost Zone Box,84,66.7
*Lost Zone Box,Arceus,84,33.3
*Arceus,Lugia Archeops,53,58.5
*Lugia Archeops,Arceus,53,41.5
*Arceus,Mew Genesect,24,70.8
*Mew Genesect,Arceus,24,29.2
*Arceus,Miraidon Flaaffy,59,35.6
*Miraidon Flaaffy,Arceus,59,64.4
*Arceus,Single Strike Lugia,24,66.7
*Single Strike Lugia,Arceus,24,33.3
*Charizard,Charizard,190,50.0
*Charizard,Charizard,190,50.0
*Charizard,Chien-Pao Baxcalibur,202,43.6
*Chien-Pao Baxcalibur,Charizard,202,56.4
*Charizard,Fusion Mew,72,65.3
*Fusion Mew,Charizard,72,34.7
*Charizard,Gardevoir,237,48.9
*Gardevoir,Charizard,237,51.1
*Charizard,Giratina LZ Box,205,42.9
*Giratina LZ Box,Charizard,205,57.1
*Charizard,Inteleon Urshifu,119,40.3
*Inteleon Urshifu,Charizard,119,59.7
*Charizard,Lost Zone Box,290,50.0
*Lost Zone Box,Charizard,290,50.0
*Charizard,Lugia Archeops,128,56.2
*Lugia Archeops,Charizard,128,43.8
*Charizard,Mew Genesect,78,65.4
*Mew Genesect,Charizard,78,34.6
*Charizard,Miraidon Flaaffy,242,56.2
*Miraidon Flaaffy,Charizard,242,43.8
*Charizard,Single Strike Lugia,95,63.2
*Single Strike Lugia,Charizard,95,36.8
*Chien-Pao Baxcalibur,Chien-Pao Baxcalibur,212,50.0
*Chien-Pao Baxcalibur,Chien-Pao Baxcalibur,212,50.0
*Chien-Pao Baxcalibur,Fusion Mew,75,44.0
*Fusion Mew,Chien-Pao Baxcalibur,75,56.0
