JW Kriewall [US]	Aushton Kelusky [CA]	W	3	1
JW Kriewall [US]	Briana Stull [US]	W	6	2
JW Kriewall [US]	Hannah Howard [US]	W	9	3
JW Kriewall [US]	Greg Kerien [US]	L	9	4
JW Kriewall [US]	Josh Todd [CA]	W	12	5
JW Kriewall [US]	Regan Retzloff [US]	W	15	6
JW Kriewall [US]	Zach Lesage [CA]	W	18	7
JW Kriewall [US]	Aidan Khus [US]	T	19	8
JW Kriewall [US]	James Cox [NL]	W	22	9
JW Kriewall [US]	Maximino Mendez [US]	W	25	10
JW Kriewall [US]	Gabriel Smart [US]	L	25	11
JW Kriewall [US]	Dylan Gunn [US]	W	28	12
JW Kriewall [US]	Dan Irish [US]	W	31	13
JW Kriewall [US]	Shinnosuke Komiya [US]	T	32	14
JW Kriewall [US]	Grant Manley [US]	W	35	15
JW Kriewall [US]	Hermanni Hietalahti [FI]	W	38	16
JW Kriewall [US]	Christian Moreno [US]	W	41	17
JW Kriewall [US]	Demetris Eaton [UK]	W	44	18
Demetris Eaton [UK]	**V21 Cody Roulette [CA]	T	1	1
Demetris Eaton [UK]	Brian Dang [CA]	W	4	2
Demetris Eaton [UK]	PJ Witusik [US]	W	7	3
Demetris Eaton [UK]	Elizabeth Willet [DK]	W	10	4
Demetris Eaton [UK]	Zeryx Schaefer [US]	W	13	5
Demetris Eaton [UK]	Sergio Rodriguez [CA]	W	16	6
Demetris Eaton [UK]	Evan Huang [CA]	W	19	7
Demetris Eaton [UK]	Lucas Xing [CA]	W	22	8
Demetris Eaton [UK]	Christian Moreno [US]	T	23	9
Demetris Eaton [UK]	Parker Lish [US]	W	26	10
Demetris Eaton [UK]	Dylan Gunn [US]	W	29	11
Demetris Eaton [UK]	Lucas Xing [CA]	W	32	12
Demetris Eaton [UK]	Jake Riggs [US]	W	35	13
Demetris Eaton [UK]	Christian Moreno [US]	L	35	14
Demetris Eaton [UK]	Azul Garcia Griego [US]	T	36	15
Demetris Eaton [UK]	Jake Riggs [US]	W	39	16
Demetris Eaton [UK]	Azul Garcia Griego [US]	W	42	17
Demetris Eaton [UK]	JW Kriewall [US]	L	42	18
Azul Garcia Griego [US]	David Diaz [US]	W	3	1
Azul Garcia Griego [US]	thomas kosciuch [CA]	W	6	2
Azul Garcia Griego [US]	Alexandre Ouellette [CA]	W	9	3
Azul Garcia Griego [US]	Tyler Mathews [US]	W	12	4
Azul Garcia Griego [US]	Shashi Naraine [CA]	W	15	5
Azul Garcia Griego [US]	Erin Arcaina [US]	W	18	6
Azul Garcia Griego [US]	Gregory Playter [US]	W	21	7
Azul Garcia Griego [US]	Sam Chen [US]	W	24	8
Azul Garcia Griego [US]	Felipe Luna [MX]	W	27	9
Azul Garcia Griego [US]	Felipe Luna [MX]	L	27	10
Azul Garcia Griego [US]	Scott Knell [UK]	W	30	11
Azul Garcia Griego [US]	Jake Riggs [US]	L	30	12
Azul Garcia Griego [US]	Regan Retzloff [US]	W	33	13
Azul Garcia Griego [US]	Gabriel Smart [US]	W	36	14
Azul Garcia Griego [US]	Demetris Eaton [UK]	T	37	15
Azul Garcia Griego [US]	Dylan Gunn [US]	W	40	16
Azul Garcia Griego [US]	Demetris Eaton [UK]	L	40	17
Christian Moreno [US]	NIcole Gibson [US]	W	3	1
Christian Moreno [US]	Brian Ortiz [US]	W	6	2
Christian Moreno [US]	Michael Martindale [CA]	W	9	3
Christian Moreno [US]	Caitlin White [CA]	W	12	4
Christian Moreno [US]	Michael Natto [US]	T	13	5
Christian Moreno [US]	Lucas Sforza [CA]	W	16	6
Christian Moreno [US]	Arjun Khadse [US]	W	19	7
Christian Moreno [US]	Nathan Stratford [US]	W	22	8
Christian Moreno [US]	Demetris Eaton [UK]	T	23	9
Christian Moreno [US]	Dylan Gunn [US]	L	23	10
Christian Moreno [US]	Mustafa Tobah [US]	W	26	11
Christian Moreno [US]	Kaden Brent [US]	W	29	12
Christian Moreno [US]	Andrew Hedrick [US]	W	32	13
Christian Moreno [US]	Demetris Eaton [UK]	W	35	14
Christian Moreno [US]	Grant Shen [US]	T	36	15
Christian Moreno [US]	Grant Shen [US]	W	39	16
Christian Moreno [US]	JW Kriewall [US]	L	39	17
Hermanni Hietalahti [FI]	Mitchell Roberge [US]	W	3	1
Hermanni Hietalahti [FI]	Greyson Snyder [US]	W	6	2
Hermanni Hietalahti [FI]	Aaron Wong [CA]	W	9	3
Hermanni Hietalahti [FI]	Lucas Thiele [US]	W	12	4
Hermanni Hietalahti [FI]	Austin Yost [US]	W	15	5
Hermanni Hietalahti [FI]	Zach Lesage [CA]	W	18	6
Hermanni Hietalahti [FI]	Grant Shen [US]	W	21	7
Hermanni Hietalahti [FI]	Felipe Luna [MX]	L	21	8
Hermanni Hietalahti [FI]	Cheng Ting Lin [CA]	W	24	9
Hermanni Hietalahti [FI]	Scott Knell [UK]	L	24	10
Hermanni Hietalahti [FI]	Raymond Long [CA]	T	25	11
Hermanni Hietalahti [FI]	Ethan Szendrey [CA]	W	28	12
Hermanni Hietalahti [FI]	Russell Monteiro [US]	W	31	13
Hermanni Hietalahti [FI]	Ian Robb [US]	W	34	14
Hermanni Hietalahti [FI]	Daniel Zhou [CA]	W	37	15
Hermanni Hietalahti [FI]	JW Kriewall [US]	L	37	16
Jake Riggs [US]	Bradley Lippert [US]	W	3	1
Jake Riggs [US]	Jason Finuliar [US]	W	6	2
Jake Riggs [US]	Nikolas Carson [CA]	W	9	3
Jake Riggs [US]	Austin Yost [US]	L	9	4
Jake Riggs [US]	Anthony Balko [US]	W	12	5
Jake Riggs [US]	Collin Merli-Matthews [US]	W	15	6
Jake Riggs [US]	Jessica Huang [CA]	W	18	7
Jake Riggs [US]	Sheldon Kuppan	W	21	8
Jake Riggs [US]	Andres David Torres [CO]	W	24	9
Jake Riggs [US]	Andrew Weiss [US]	W	27	10
Jake Riggs [US]	Felipe Luna [MX]	W	30	11
Jake Riggs [US]	Azul Garcia Griego [US]	W	33	12
Jake Riggs [US]	Demetris Eaton [UK]	L	33	13
Jake Riggs [US]	Grant Shen [US]	L	33	14
Jake Riggs [US]	Regan Retzloff [US]	W	36	15
Jake Riggs [US]	Demetris Eaton [UK]	L	36	16
Grant Shen [US]	rob Manger-Tuckey [CA]	W	3	1
Grant Shen [US]	Luna Dunham [US]	W	6	2
Grant Shen [US]	Ralph Manahan [CA]	W	9	3
Grant Shen [US]	clayton may [US]	W	12	4
Grant Shen [US]	Makani Tran [US]	W	15	5
Grant Shen [US]	Sheldon Kuppan	W	18	6
Grant Shen [US]	Hermanni Hietalahti [FI]	L	18	7
Grant Shen [US]	Kaden Brent [US]	T	19	8
Grant Shen [US]	Abaan Ahmed [US]	W	22	9
Grant Shen [US]	Ryan Szeto [US]	W	25	10
Grant Shen [US]	Jake Santiago [CA]	T	26	11
Grant Shen [US]	Charlie Lockyer [US]	W	29	12
Grant Shen [US]	Joshua Frink [US]	W	32	13
Grant Shen [US]	Jake Riggs [US]	W	35	14
Grant Shen [US]	Christian Moreno [US]	T	36	15
Grant Shen [US]	Christian Moreno [US]	L	36	16
Dylan Gunn [US]	Andrew Sicard [CA]	W	3	1
Dylan Gunn [US]	HECTOR IBARRA [US]	W	6	2
Dylan Gunn [US]	Matthew Meloche [CA]	W	9	3
Dylan Gunn [US]	Parker Lish [US]	T	10	4
Dylan Gunn [US]	Sebastian Ardila [US]	T	11	5
Dylan Gunn [US]	Thomas Ducrot [FR]	W	14	6
Dylan Gunn [US]	Hunter Woolridge [US]	W	17	7
Dylan Gunn [US]	Brandon Salazar [US]	W	20	8
Dylan Gunn [US]	Charlie Lockyer [US]	W	23	9
Dylan Gunn [US]	Christian Moreno [US]	W	26	10
Dylan Gunn [US]	Demetris Eaton [UK]	L	26	11
Dylan Gunn [US]	JW Kriewall [US]	L	26	12
Dylan Gunn [US]	Andrew Estrada [CA]	W	29	13
Dylan Gunn [US]	Camden Freeze [US]	W	32	14
Dylan Gunn [US]	Jackson Ford [CA]	W	35	15
Dylan Gunn [US]	Azul Garcia Griego [US]	L	35	16
Christian LaBella [CA]	Jerrick Gumila [US]	L	0	1
Christian LaBella [CA]	Savannah Cruz [US]	W	3	2
Christian LaBella [CA]	Jacob Carrasco [US]	W	6	3
Christian LaBella [CA]	Simon Trottier-Lacasse [CA]	W	9	4
Christian LaBella [CA]	Rui Li [CA]	L	9	5
Christian LaBella [CA]	Nathan Flanders [CA]	T	10	6
Christian LaBella [CA]	Eli Hill [US]	W	13	7
Christian LaBella [CA]	Maddox Corcoran [US]	W	16	8
Christian LaBella [CA]	Asher Campbell [US]	W	19	9
Christian LaBella [CA]	Bryan de Vries [NL]	W	22	10
Christian LaBella [CA]	Justin Teng [US]	W	25	11
Christian LaBella [CA]	Raymond Long [CA]	W	28	12
Christian LaBella [CA]	Brett Gorney [US]	W	31	13
Christian LaBella [CA]	Alex Schemanske [US]	W	34	14
Christian LaBella [CA]	Gabriel Smart [US]	T	35	15
Gabriel Smart [US]	Eric Greene [CA]	L	0	1
Gabriel Smart [US]	Aushton Kelusky [CA]	W	3	2
Gabriel Smart [US]	Owen Johnson [CA]	T	4	3
Gabriel Smart [US]	Alexane Bellemare [CA]	W	7	4
Gabriel Smart [US]	Luigi Tersigni [CA]	W	10	5
Gabriel Smart [US]	Justin Brothers [US]	W	13	6
Gabriel Smart [US]	Peter Ling [CA]	W	16	7
Gabriel Smart [US]	Donny Nguyen [US]	W	19	8
Gabriel Smart [US]	joshua titus [CA]	W	22	9
Gabriel Smart [US]	Cyrus McCane [US]	W	25	10
Gabriel Smart [US]	JW Kriewall [US]	W	28	11
Gabriel Smart [US]	Felipe Luna [MX]	W	31	12
Gabriel Smart [US]	Tim Vince [CA]	W	34	13
