Alex Schemanske [US]	Sebastian Braun [DE]	W	3	1
Alex Schemanske [US]	Michael Zele [US]	W	6	2
Alex Schemanske [US]	Harry Dunn [UK]	W	9	3
Alex Schemanske [US]	Gage Rull [UK]	W	12	4
Alex Schemanske [US]	Vaughn O'Brien [US]	T	13	5
Alex Schemanske [US]	Tomos Morris [UK]	W	16	6
Alex Schemanske [US]	Bryan de Vries [NL]	W	19	7
Alex Schemanske [US]	Piper Lepine [US]	L	19	8
Alex Schemanske [US]	Fabio Battistella [IT]	L	19	9
Alex Schemanske [US]	Riley Hulbert [US]	W	22	10
Alex Schemanske [US]	Giovanni Schroevers [NL]	W	25	11
Alex Schemanske [US]	Murilo Mercadante [BR]	W	28	12
Alex Schemanske [US]	Vaughn O'Brien [US]	W	31	13
Alex Schemanske [US]	Nofoume Ben Ahmed aly [FR]	W	34	14
Alex Schemanske [US]	Trevore Read [CA]	W	37	15
Alex Schemanske [US]	Robert Kinbrum [UK]	W	40	16
Alex Schemanske [US]	Pedro Eugenio Torres [ES]	W	43	17
Alex Schemanske [US]	Tord Reklev [NO]	W	46	18
Tord Reklev [NO]	Rafal Aleksandrowicz [BE]	W	3	1
Tord Reklev [NO]	Cameron O’Shea [UK]	W	6	2
Tord Reklev [NO]	Martin Viruete [MX]	L	6	3
Tord Reklev [NO]	JOEL NGUYEN [FR]	W	9	4
Tord Reklev [NO]	LuisM AR [ES]	W	12	5
Tord Reklev [NO]	Gilles Garré [BE]	W	15	6
Tord Reklev [NO]	Ryan Lightbody [UK]	W	18	7
Tord Reklev [NO]	Noah Yoshida [US]	W	21	8
Tord Reklev [NO]	Pablo Meza [MX]	W	24	9
Tord Reklev [NO]	Josh Fernando [CA]	W	27	10
Tord Reklev [NO]	Hermanni Hietalahti [FI]	W	30	11
Tord Reklev [NO]	Aidan Khus [US]	W	33	12
Tord Reklev [NO]	Trevore Read [CA]	L	33	13
Tord Reklev [NO]	Pablo Meza [MX]	L	33	14
Tord Reklev [NO]	Yoann Barszezak [FR]	W	36	15
Tord Reklev [NO]	Trevore Read [CA]	W	39	16
Tord Reklev [NO]	Pablo Meza [MX]	W	42	17
Tord Reklev [NO]	Alex Schemanske [US]	L	42	18
Pablo Meza [MX]	Mags McHardy [UK]	W	3	1
Pablo Meza [MX]	Michael Popp [DE]	W	6	2
Pablo Meza [MX]	Luke Kirkham [UK]	L	6	3
Pablo Meza [MX]	Mathias Jakobsen [DK]	W	9	4
Pablo Meza [MX]	Daniel Monticelli [IT]	W	12	5
Pablo Meza [MX]	Sam Taylor [UK]	W	15	6
Pablo Meza [MX]	Fabio Spanò [IT]	W	18	7
Pablo Meza [MX]	Gilles Heyndrickx [BE]	W	21	8
Pablo Meza [MX]	Tord Reklev [NO]	L	21	9
Pablo Meza [MX]	Matthew Byrom [UK]	W	24	10
Pablo Meza [MX]	Josh Fernando [CA]	W	27	11
Pablo Meza [MX]	Robin Schulz [DE]	W	30	12
Pablo Meza [MX]	Pedro Pertusi [BR]	W	33	13
Pablo Meza [MX]	Tord Reklev [NO]	W	36	14
Pablo Meza [MX]	Pedro Eugenio Torres [ES]	T	37	15
Pablo Meza [MX]	Eric Rodriguez [US]	W	40	16
Pablo Meza [MX]	Tord Reklev [NO]	L	40	17
Pedro Eugenio Torres [ES]	Adrián Suárez Hidalgo [ES]	L	0	1
Pedro Eugenio Torres [ES]	Derwen Fay [UK]	W	3	2
Pedro Eugenio Torres [ES]	Stephen L Kent [UK]	W	6	3
Pedro Eugenio Torres [ES]	Valentin Radet [FR]	W	9	4
Pedro Eugenio Torres [ES]	Nicholas Hacquebord [US]	W	12	5
Pedro Eugenio Torres [ES]	Matthew Nixon [US]	W	15	6
Pedro Eugenio Torres [ES]	Brandon Baughn [US]	T	16	7
Pedro Eugenio Torres [ES]	Teddy Vataire [FR]	W	19	8
