Connor Finton	Anthony Hanson	W	3	1
Connor Finton	Xavier Clark	W	6	2
Connor Finton	David Zheng	W	9	3
Connor Finton	Nathan Stratford	W	12	4
Connor Finton	Regan Retzloff	W	15	5
Connor Finton	Richard Disney	W	18	6
Connor Finton	Andrew Mahone	W	21	7
Connor Finton	Vincent Owen	T	22	8
Connor Finton	Michael Pramawat	W	25	9
Connor Finton	Liam Halliburton	W	28	10
Connor Finton	Axel Alvarez	W	31	11
Connor Finton	Tord Reklev	T	32	12
Connor Finton	Jon Eng	W	35	13
Connor Finton	Jordon Gaubert	T	36	14
Connor Finton	Alex krekeler	T	37	15
Connor Finton	jacob eye	W	40	16
Connor Finton	Jon Eng	W	43	17
Connor Finton	Alex krekeler	W	46	18
Alex krekeler	Kyle VanOrsdel	T	1	1
Alex krekeler	Gillian McKnight	W	4	2
Alex krekeler	Ethan Sevigny	W	7	3
Alex krekeler	Kendon Kula	W	10	4
Alex krekeler	Walter Contreras	W	13	5
Alex krekeler	Ian DiCarlo	W	16	6
Alex krekeler	Alex Cole	W	19	7
Alex krekeler	Franco Takahashi	W	22	8
Alex krekeler	Rahul Reddy	W	25	9
Alex krekeler	Axel Alvarez	L	25	10
Alex krekeler	Noah Yoshida	W	28	11
Alex krekeler	Christian Fontenot	W	31	12
Alex krekeler	Tord Reklev	W	34	13
Alex krekeler	Andrew Mahone	T	35	14
Alex krekeler	Connor Finton	T	36	15
Alex krekeler	Christian Fontenot	W	39	16
Alex krekeler	Jordon Gaubert	W	42	17
Alex krekeler	Connor Finton	L	42	18
Jon Eng	Grayson McKinley	T	1	1
Jon Eng	Hayden Mundwiler	W	4	2
Jon Eng	Hassan Khwaja	W	7	3
Jon Eng	Wes Estep	W	10	4
Jon Eng	Jeremy Allen	W	13	5
Jon Eng	Fabrizio Inga Silva	T	14	6
Jon Eng	Sackett Brehmer	W	17	7
Jon Eng	Jonathan Soto	W	20	8
Jon Eng	Seth Ramos	W	23	9
Jon Eng	Aidan Khus	W	26	10
Jon Eng	David Lugo	W	29	11
Jon Eng	Axel Alvarez	W	32	12
Jon Eng	Connor Finton	L	32	13
Jon Eng	Grant Shen	W	35	14
Jon Eng	Jordon Gaubert	T	36	15
Jon Eng	Riley Hulbert	W	39	16
Jon Eng	Connor Finton	L	39	17
Jordon Gaubert	Ryan Kelly	W	3	1
Jordon Gaubert	Ludwig Llanos	W	6	2
Jordon Gaubert	Todd Adams	L	6	3
Jordon Gaubert	Dustin Hayes	W	9	4
Jordon Gaubert	Keegan Wood	W	12	5
Jordon Gaubert	Dallas Wright	W	15	6
Jordon Gaubert	Dalten Cross	W	18	7
Jordon Gaubert	Jose Marrero	W	21	8
Jordon Gaubert	Vance Kelley	W	24	9
Jordon Gaubert	Andrew Mahone	W	27	10
Jordon Gaubert	Tord Reklev	L	27	11
Jordon Gaubert	Steven Singer	W	30	12
Jordon Gaubert	Josh Cohen	W	33	13
Jordon Gaubert	Connor Finton	T	34	14
Jordon Gaubert	Jon Eng	T	35	15
Jordon Gaubert	Liam Halliburton	W	38	16
Jordon Gaubert	Alex krekeler	L	38	17
Liam Halliburton	nick miller	W	3	1
Liam Halliburton	Regan Retzloff	L	3	2
Liam Halliburton	Payton Tyson	W	6	3
Liam Halliburton	Mitchell Johnson	W	9	4
Liam Halliburton	Christian Robles	W	12	5
Liam Halliburton	Juan Colon	W	15	6
Liam Halliburton	Raul Avila	W	18	7
Liam Halliburton	Calvin Connor	W	21	8
Liam Halliburton	noah schuler	W	24	9
Liam Halliburton	Connor Finton	L	24	10
Liam Halliburton	Riley Hulbert	L	24	11
Liam Halliburton	Tyler Keller	W	27	12
Liam Halliburton	Richard Torres	W	30	13
Liam Halliburton	Josh Cohen	W	33	14
Liam Halliburton	Tord Reklev	W	36	15
Liam Halliburton	Jordon Gaubert	L	36	16
Riley Hulbert	Nicholas Avarello	W	3	1
Riley Hulbert	Kevin Tran	W	6	2
Riley Hulbert	Michael Perez	L	6	3
Riley Hulbert	Nelson Cuevas	W	9	4
Riley Hulbert	Calvin Connor	L	9	5
Riley Hulbert	Long Bui	W	12	6
Riley Hulbert	Adam Plummer	W	15	7
Riley Hulbert	Patrick Birleffi	W	18	8
Riley Hulbert	Christian Moreno	W	21	9
Riley Hulbert	Andy Cisneros	W	24	10
