Andrew Hedrick [US]	Santiago Pachón Moreno [CO]	W	3	1
Andrew Hedrick [US]	Martin Ricardo Carmona Romero [MX]	W	6	2
Andrew Hedrick [US]	Vaughn O’brien [US]	W	9	3
Andrew Hedrick [US]	Andrew Estrada [CA]	T	10	4
Andrew Hedrick [US]	Carlos Medina Astete [PE]	W	13	5
Andrew Hedrick [US]	Salvador Torres [SV]	W	16	6
Andrew Hedrick [US]	Eder Jarillo [MX]	T	17	7
Andrew Hedrick [US]	Johnnatan Castillo [CO]	W	20	8
Andrew Hedrick [US]	Gabriel Smart [US]	W	23	9
Andrew Hedrick [US]	Eder Jarillo [MX]	W	26	10
Eder Jarillo [MX]	Juan Pablo Gaitan Torrente [CO]	W	3	1
Eder Jarillo [MX]	Felipe Giovanny Gonzalez [CO]	T	4	2
Eder Jarillo [MX]	Erick Henriquez [SV]	W	7	3
Eder Jarillo [MX]	Michael Perez [US]	W	10	4
Eder Jarillo [MX]	Jonathan Torres [CO]	W	13	5
Eder Jarillo [MX]	Alexander Monroy [PE]	W	16	6
Eder Jarillo [MX]	Andrew Hedrick [US]	T	17	7
Eder Jarillo [MX]	Carlos Medina Astete [PE]	W	20	8
Eder Jarillo [MX]	Jonathan Torres [CO]	W	23	9
Eder Jarillo [MX]	Andrew Hedrick [US]	L	23	10
Jonathan Torres [CO]	Erik Butron [MX]	T	1	1
Jonathan Torres [CO]	Andrew Dombroski [AE]	W	4	2
Jonathan Torres [CO]	Miguel Ruiz [CO]	W	7	3
Jonathan Torres [CO]	Alfredo J Prada Diaz [CO]	W	10	4
Jonathan Torres [CO]	Eder Jarillo [MX]	L	10	5
Jonathan Torres [CO]	Eric Ridgeway [US]	W	13	6
Jonathan Torres [CO]	Franco Takahashi [US]	W	16	7
Jonathan Torres [CO]	Connor Finton [US]	W	19	8
Jonathan Torres [CO]	Eder Jarillo [MX]	L	19	9
Gabriel Smart [US]	Jose Luis Bernal Quimbay [CO]	W	3	1
Gabriel Smart [US]	Nixon Cedillos [US]	L	3	2
Gabriel Smart [US]	Hanzell Caballero [MX]	W	6	3
Gabriel Smart [US]	Franco Takahashi [US]	L	6	4
Gabriel Smart [US]	Andrés Castillo [MX]	W	9	5
Gabriel Smart [US]	Michael Garcia [US]	W	12	6
Gabriel Smart [US]	Andrew Estrada [CA]	W	15	7
Gabriel Smart [US]	Alexander Monroy [PE]	W	18	8
Gabriel Smart [US]	Andrew Hedrick [US]	L	18	9
Alexander Monroy [PE]	Mario Lopez [GT]	W	3	1
Alexander Monroy [PE]	Franco Takahashi [US]	W	6	2
Alexander Monroy [PE]	Diego Varea [PE]	W	9	3
Alexander Monroy [PE]	Eduardo Serrano [SV]	W	12	4
Alexander Monroy [PE]	Connor Finton [US]	W	15	5
Alexander Monroy [PE]	Eder Jarillo [MX]	L	15	6
Alexander Monroy [PE]	Erick Henriquez [SV]	T	16	7
Alexander Monroy [PE]	Gabriel Smart [US]	L	16	8
Connor Finton [US]	Juan Carlos Barrios [GT]	W	3	1
Connor Finton [US]	Miguel Angel Tovar A [CO]	W	6	2
Connor Finton [US]	Miguel Ángel López Bernal [MX]	W	9	3
Connor Finton [US]	Nixon Cedillos [US]	W	12	4
Connor Finton [US]	Alexander Monroy [PE]	L	12	5
Connor Finton [US]	Alberto Bonsanto [MX]	T	13	6
Connor Finton [US]	Diego Omar Campos Velazquez [MX]	W	16	7
Connor Finton [US]	Jonathan Torres [CO]	L	16	8
Johnnatan Castillo [CO]	Gester Sanjur [PA]	W	3	1
Johnnatan Castillo [CO]	Jose Felix Monroy Hidalgo [PE]	W	6	2
Johnnatan Castillo [CO]	Eduardo Serrano [SV]	L	6	3
Johnnatan Castillo [CO]	Vincent Gillette [US]	L	6	4
Johnnatan Castillo [CO]	Sergio Andres Celis Pineda [CO]	W	9	5
Johnnatan Castillo [CO]	Michael Perez [US]	W	12	6
Johnnatan Castillo [CO]	Salvador Torres [SV]	W	15	7
