Tim Franklin [AU]	Alec Goznik [AU]	W	3	1
Tim Franklin [AU]	Nicholas Van Emmerik [AU]	L	3	2
Tim Franklin [AU]	Fareez Sanif [AU]	W	6	3
Tim Franklin [AU]	Mitchell Demnar [AU]	W	9	4
Tim Franklin [AU]	Mitch Knuckey [AU]	W	12	5
Tim Franklin [AU]	Natalie Millar [AU]	W	15	6
Tim Franklin [AU]	Cezar Brandao [AU]	W	18	7
Tim Franklin [AU]	Shaun Murphy [AU]	T	19	8
Tim Franklin [AU]	Brent Tonisson [AU]	W	22	9
Tim Franklin [AU]	Anthony Furney [AU]	W	25	10
Tim Franklin [AU]	Joel Suryadi [AU]	W	28	11
Joel Suryadi [AU]	Ethan Stoeckert [AU]	W	3	1
Joel Suryadi [AU]	Nathan Canty-Seghers [AU]	W	6	2
Joel Suryadi [AU]	Jusitn Cutajar [AU]	W	9	3
Joel Suryadi [AU]	Joshua Sparks [AU]	L	9	4
Joel Suryadi [AU]	Kurt Luck [AU]	W	12	5
Joel Suryadi [AU]	Angus Johnson [AU]	W	15	6
Joel Suryadi [AU]	Jesse Owers [AU]	W	18	7
Joel Suryadi [AU]	Brent Tonisson [AU]	W	21	8
Joel Suryadi [AU]	Aaron Stringfellow [AU]	W	24	9
Joel Suryadi [AU]	Lewis Stevens [AU]	W	27	10
Joel Suryadi [AU]	Tim Franklin [AU]	L	27	11
Anthony Furney [AU]	Angela Lewis [AU]	W	3	1
Anthony Furney [AU]	Ryan Maullin [AU]	W	6	2
Anthony Furney [AU]	Ethan Cooper [AU]	T	7	3
Anthony Furney [AU]	Jacob McSpadden [AU]	W	10	4
Anthony Furney [AU]	James Williams [AU]	W	13	5
Anthony Furney [AU]	Stephen Todorovic [AU]	W	16	6
Anthony Furney [AU]	Robbie Caldwell [AU]	T	17	7
Anthony Furney [AU]	Max Prescott [AU]	W	20	8
Anthony Furney [AU]	Shaun Murphy [AU]	W	23	9
Anthony Furney [AU]	Tim Franklin [AU]	L	23	10
Lewis Stevens [AU]	Montana Drew [AU]	L	0	1
Lewis Stevens [AU]	Brock Costello [AU]	W	3	2
Lewis Stevens [AU]	Jesse Becker [AU]	W	6	3
Lewis Stevens [AU]	Louis Pozzacchio [AU]	W	9	4
Lewis Stevens [AU]	Aaron Stringfellow [AU]	T	10	5
Lewis Stevens [AU]	Han Yang [TW]	W	13	6
Lewis Stevens [AU]	Jonathan Cheong [AU]	W	16	7
Lewis Stevens [AU]	Joshua Sparks [AU]	W	19	8
Lewis Stevens [AU]	Akira Hara [AU]	W	22	9
Lewis Stevens [AU]	Joel Suryadi [AU]	L	22	10
Brent Tonisson [AU]	Tasman Johnstone [AU]	T	1	1
Brent Tonisson [AU]	Hayden Matthews [AU]	W	4	2
Brent Tonisson [AU]	Shane Quinn [AU]	W	7	3
Brent Tonisson [AU]	josh davey [AU]	W	10	4
Brent Tonisson [AU]	Ethan Cooper [AU]	W	13	5
Brent Tonisson [AU]	Joshua Sparks [AU]	W	16	6
Brent Tonisson [AU]	Keegan Burt [AU]	W	19	7
Brent Tonisson [AU]	Joel Suryadi [AU]	L	19	8
Brent Tonisson [AU]	Tim Franklin [AU]	L	19	9
Akira Hara [AU]	Sean Takemoto [AU]	W	3	1
Akira Hara [AU]	Ehren Roebuck [AU]	T	4	2
Akira Hara [AU]	Jacob O’Grady [AU]	L	4	3
Akira Hara [AU]	Hayden Matthews [AU]	W	7	4
Akira Hara [AU]	Montana Drew [AU]	W	10	5
Akira Hara [AU]	Ethan Cooper [AU]	W	13	6
Akira Hara [AU]	Jacob McSpadden [AU]	W	16	7
Akira Hara [AU]	Cezar Brandao [AU]	W	19	8
Akira Hara [AU]	Lewis Stevens [AU]	L	19	9
Shaun Murphy [AU]	David Han [AU]	L	0	1
Shaun Murphy [AU]	Tan Loc Thuan Nguyen [AU]	W	3	2
Shaun Murphy [AU]	Liam Thomas [AU]	W	6	3
Shaun Murphy [AU]	Ida Nero [AU]	W	9	4
Shaun Murphy [AU]	Jacob O’Grady [AU]	W	12	5
Shaun Murphy [AU]	Keely Shaw [NZ]	W	15	6
Shaun Murphy [AU]	Ying Hao Tou [AU]	W	18	7
Shaun Murphy [AU]	Tim Franklin [AU]	T	19	8
Shaun Murphy [AU]	Anthony Furney [AU]	L	19	9
Aaron Stringfellow [AU]	Matthew Wohlsen [AU]	W	3	1
Aaron Stringfellow [AU]	Alex King [AU]	W	6	2
Aaron Stringfellow [AU]	Tommy Le [AU]	L	6	3
Aaron Stringfellow [AU]	Jake Lazzari [AU]	W	9	4
Aaron Stringfellow [AU]	Lewis Stevens [AU]	T	10	5
Aaron Stringfellow [AU]	Lachlan Russell [AU]	W	13	6
Aaron Stringfellow [AU]	Jeremy Lim [AU]	W	16	7
Aaron Stringfellow [AU]	Tibor Baranyay [AU]	W	19	8
Aaron Stringfellow [AU]	Joel Suryadi [AU]	L	19	9
Natalie Millar [AU]	Darcy Ryan [AU]	W	3	1
Natalie Millar [AU]	James Williams [AU]	W	6	2
Natalie Millar [AU]	Stephen Todorovic [AU]	W	9	3
Natalie Millar [AU]	Peter Lo [AU]	L	9	4
Natalie Millar [AU]	Andrew Ng [AU]	W	12	5
Natalie Millar [AU]	Tim Franklin [AU]	L	12	6
Natalie Millar [AU]	Keely Shaw [NZ]	W	15	7
Natalie Millar [AU]	Christian Delloiaco [AU]	W	18	8
Robbie Caldwell [AU]	Nicholas Versic [AU]	W	3	1
Robbie Caldwell [AU]	Benjamin Hall [AU]	W	6	2
Robbie Caldwell [AU]	Nicholas Van Emmerik [AU]	W	9	3
Robbie Caldwell [AU]	Jesse Owers [AU]	W	12	4
Robbie Caldwell [AU]	Peter Lo [AU]	W	15	5
Robbie Caldwell [AU]	Max Prescott [AU]	T	16	6
Robbie Caldwell [AU]	Anthony Furney [AU]	T	17	7
Robbie Caldwell [AU]	Robin Sangwan [AU]	T	18	8
Jesse Owers [AU]	Ida Nero [AU]	W	3	1
Jesse Owers [AU]	Connor Murphy [AU]	W	6	2
Jesse Owers [AU]	Klaus Brinsmead [AU]	W	9	3
Jesse Owers [AU]	Robbie Caldwell [AU]	L	9	4
Jesse Owers [AU]	David Burness [AU]	W	12	5
Jesse Owers [AU]	Peter Lo [AU]	W	15	6
Jesse Owers [AU]	Joel Suryadi [AU]	L	15	7
Jesse Owers [AU]	Blake Lobina [AU]	W	18	8
Robin Sangwan [AU]	Ty Farry [AU]	T	1	1
Robin Sangwan [AU]	Craig McLachlan [AU]	W	4	2
Robin Sangwan [AU]	Jonathan Cheong [AU]	W	7	3
Robin Sangwan [AU]	Jake Cruwys [AU]	W	10	4
Robin Sangwan [AU]	Han Yang [TW]	W	13	5
Robin Sangwan [AU]	Cezar Brandao [AU]	W	16	6
Robin Sangwan [AU]	Max Prescott [AU]	T	17	7
Robin Sangwan [AU]	Robbie Caldwell [AU]	T	18	8
James Williams [AU]	Benjamin Kouzas [AU]	W	3	1
James Williams [AU]	Natalie Millar [AU]	L	3	2
James Williams [AU]	Darcy Ryan [AU]	W	6	3
James Williams [AU]	Klaus Brinsmead [AU]	W	9	4
James Williams [AU]	Anthony Furney [AU]	L	9	5
James Williams [AU]	Kurt Luck [AU]	W	12	6
James Williams [AU]	Stephen Todorovic [AU]	W	15	7
James Williams [AU]	Ehren Roebuck [AU]	W	18	8
Max Prescott [AU]	Tyler Bishop [AU]	W	3	1
Max Prescott [AU]	Jake Lazzari [AU]	W	6	2
Max Prescott [AU]	Zach Quince [AU]	W	9	3
Max Prescott [AU]	Tommy Le [AU]	W	12	4
Max Prescott [AU]	Angus Johnson [AU]	W	15	5
Max Prescott [AU]	Robbie Caldwell [AU]	T	16	6
Max Prescott [AU]	Robin Sangwan [AU]	T	17	7
Max Prescott [AU]	Anthony Furney [AU]	L	17	8
