Matias Matricardi [AR]	Rodrigo Ciulla [BR]	W	3	1
Matias Matricardi [AR]	Facundo Manuel Facio [AR]	T	4	2
Matias Matricardi [AR]	Damian Fernandez Urroz [AR]	W	7	3
Matias Matricardi [AR]	Tomás Leal [AR]	W	10	4
Matias Matricardi [AR]	Esteban Ocompley [CL]	W	13	5
Matias Matricardi [AR]	Dalton Acchetta [BR]	W	16	6
Matias Matricardi [AR]	Manuel Christopher Vergara [CL]	T	17	7
Matias Matricardi [AR]	Nicolás Magliulo [AR]	W	20	8
Matias Matricardi [AR]	Manuel Christopher Vergara [CL]	W	23	9
Matias Matricardi [AR]	Dalton Acchetta [BR]	W	26	10
Dalton Acchetta [BR]	Emanuel Diogo [AR]	W	3	1
Dalton Acchetta [BR]	Juan Martin Bravo [AR]	W	6	2
Dalton Acchetta [BR]	William Azevedo [BR]	T	7	3
Dalton Acchetta [BR]	Lucas Ariel Gonzalo [AR]	W	10	4
Dalton Acchetta [BR]	Leonardo Walbrinch [BR]	W	13	5
Dalton Acchetta [BR]	Matias Matricardi [AR]	L	13	6
Dalton Acchetta [BR]	Leandro Espindola [AR]	W	16	7
Dalton Acchetta [BR]	Federico Nattkemper [AR]	W	19	8
Dalton Acchetta [BR]	Sebastian Lugo [AR]	W	22	9
Dalton Acchetta [BR]	Matias Matricardi [AR]	L	22	10
Sebastian Lugo [AR]	Joaquín Algorta [UY]	W	3	1
Sebastian Lugo [AR]	Damián Gabriel Riquel [AR]	W	6	2
Sebastian Lugo [AR]	Agustín Campo [AR]	W	9	3
Sebastian Lugo [AR]	Victor Muñoz [CL]	W	12	4
Sebastian Lugo [AR]	Patricia Gonzalez Walsh [AR]	W	15	5
Sebastian Lugo [AR]	Manuel Christopher Vergara [CL]	T	16	6
Sebastian Lugo [AR]	Nicolás Magliulo [AR]	T	17	7
Sebastian Lugo [AR]	Lucas Ariel Gonzalo [AR]	W	20	8
Sebastian Lugo [AR]	Dalton Acchetta [BR]	L	20	9
Manuel Christopher Vergara [CL]	Fabrizio Bellucci [AR]	W	3	1
Manuel Christopher Vergara [CL]	Fermin Arrese Igor [AR]	W	6	2
Manuel Christopher Vergara [CL]	Victor Cervelin Leite [BR]	W	9	3
Manuel Christopher Vergara [CL]	Leandro Espindola [AR]	W	12	4
Manuel Christopher Vergara [CL]	Alejo Salvador [AR]	W	15	5
Manuel Christopher Vergara [CL]	Sebastian Lugo [AR]	T	16	6
Manuel Christopher Vergara [CL]	Matias Matricardi [AR]	T	17	7
Manuel Christopher Vergara [CL]	Ajay Sridhar [US]	W	20	8
Manuel Christopher Vergara [CL]	Matias Matricardi [AR]	L	20	9
Federico Nattkemper [AR]	Nicolás Magliulo [AR]	W	3	1
Federico Nattkemper [AR]	Damian Fulco [AR]	W	6	2
Federico Nattkemper [AR]	Leandro Espindola [AR]	L	6	3
Federico Nattkemper [AR]	Fabrizio Bellucci [AR]	W	9	4
