"Henry Brand	Bobby Starace	W	3	1"
"Henry Brand	Sam Salvador	L	3	2"
"Henry Brand	Sam Mercado	W	6	3"
"Henry Brand	Zack Prather	W	9	4"
"Henry Brand	Kiernan Wagner	T	10	5"
"Henry Brand	Matthew Wood	W	13	6"
"Henry Brand	Xander Pero	W	16	7"
"Henry Brand	BILLY CHAN	W	19	8"
"Henry Brand	David Hendrickson	W	22	9"
"Henry Brand	Andrew Hedrick	L	22	10"
"Henry Brand	Cyrus McCane	W	25	11"
"Henry Brand	Jesse Parker	W	28	12"
"Henry Brand	Chris Knudsvig	W	31	13"
"Henry Brand	Andrew Weiss	W	34	14"
"Henry Brand	bryan okrey	T	35	15"
"Henry Brand	bryan okrey	W	38	16"
"Henry Brand	Ben Cryer	W	41	17"
"Henry Brand	Caleb Gedemer	W	44	18"
"Caleb Gedemer	Jacob Smith	W	3	1"
"Caleb Gedemer	Kason Day	L	3	2"
"Caleb Gedemer	Dennis Mua	W	6	3"
"Caleb Gedemer	Adam Soper	T	7	4"
"Caleb Gedemer	Joshua De Michele	W	10	5"
"Caleb Gedemer	Mike Dillon	W	13	6"
"Caleb Gedemer	Mathew Boat	W	16	7"
"Caleb Gedemer	Michael Battaglia	W	19	8"
"Caleb Gedemer	Eric Ridgeway	W	22	9"
"Caleb Gedemer	Steve Wang	W	25	10"
"Caleb Gedemer	Andrew Hedrick	W	28	11"
"Caleb Gedemer	Isaac Milaski	W	31	12"
"Caleb Gedemer	bryan okrey	T	32	13"
"Caleb Gedemer	Grant Manley	T	33	14"
"Caleb Gedemer	Connor Finton	W	36	15"
"Caleb Gedemer	Michael Long	W	39	16"
"Caleb Gedemer	Azul Garcia Griego	W	42	17"
"Caleb Gedemer	Henry Brand	L	42	18"
"Ben Cryer	Cameran Lehrer	W	3	1"
"Ben Cryer	Estreberto Marin	W	6	2"
"Ben Cryer	Braiden Elfert	W	9	3"
"Ben Cryer	brian myers	W	12	4"
"Ben Cryer	Connor Cockerham	T	13	5"
"Ben Cryer	Eric Ridgeway	W	16	6"
"Ben Cryer	Jared Woitalla	W	19	7"
"Ben Cryer	Steve Wang	L	19	8"
"Ben Cryer	Christian LaBella	W	22	9"
"Ben Cryer	Ryan Antonucci	L	22	10"
"Ben Cryer	Rahul Reddy	W	25	11"
"Ben Cryer	Riley McKay	W	28	12"
"Ben Cryer	Gian Carlo Diaz	W	31	13"
"Ben Cryer	Isaac Milaski	T	32	14"
"Ben Cryer	Daniel Altavilla	W	35	15"
"Ben Cryer	Jared Woitalla	W	38	16"
"Ben Cryer	Henry Brand	L	38	17"
"Azul Garcia Griego	Chandler Crain	L	0	1"
"Azul Garcia Griego	Dallas White	W	3	2"
"Azul Garcia Griego	Esther Hernández	W	6	3"
"Azul Garcia Griego	Devin Ardissono	W	9	4"
"Azul Garcia Griego	Fayez Syed	W	12	5"
"Azul Garcia Griego	Mark Marullo	W	15	6"
"Azul Garcia Griego	Sam Salvador	W	18	7"
"Azul Garcia Griego	Grant Manley	L	18	8"
"Azul Garcia Griego	Jadon Clark	W	21	9"
"Azul Garcia Griego	Raymond Long	W	24	10"
"Azul Garcia Griego	Richard Haeder	W	27	11"
"Azul Garcia Griego	Wesley Hollenberg	W	30	12"
"Azul Garcia Griego	Jared Woitalla	W	33	13"
"Azul Garcia Griego	bryan okrey	T	34	14"
"Azul Garcia Griego	Grant Manley	T	35	15"
"Azul Garcia Griego	Grant Manley	W	38	16"
"Azul Garcia Griego	Caleb Gedemer	L	38	17"
"bryan okrey	Nathaniel Tate	W	3	1"
"bryan okrey	Callie Moore	W	6	2"
"bryan okrey	Thomas Veazie	W	9	3"
"bryan okrey	Grant Shen	W	12	4"
"bryan okrey	Jadon Clark	W	15	5"
"bryan okrey	Nadher Tabash	W	18	6"
"bryan okrey	Christian Fontenot	W	21	7"
"bryan okrey	Mitch Moritz	W	24	8"
"bryan okrey	Andrew Weiss	W	27	9"
"bryan okrey	Isaac Milaski	L	27	10"
"bryan okrey	Andrew Weiss	W	30	11"
"bryan okrey	Grant Manley	W	33	12"
"bryan okrey	Caleb Gedemer	T	34	13"
"bryan okrey	Azul Garcia Griego	T	35	14"
"bryan okrey	Henry Brand	T	36	15"
"bryan okrey	Henry Brand	L	36	16"
"Grant Manley	Adam Nolte	W	3	1"
"Grant Manley	Sam Corder	W	6	2"
"Grant Manley	Aaron Santos	W	9	3"
"Grant Manley	Eli Hyde	W	12	4"
"Grant Manley	Charlie Kerr	W	15	5"
"Grant Manley	Christian Fontenot	L	15	6"
"Grant Manley	Aneil Saini	W	18	7"
"Grant Manley	Azul Garcia Griego	W	21	8"
"Grant Manley	Richard Haeder	W	24	9"
"Grant Manley	Connor Finton	W	27	10"
"Grant Manley	Isaac Milaski	W	30	11"
"Grant Manley	bryan okrey	L	30	12"
"Grant Manley	John Maas	W	33	13"
"Grant Manley	Caleb Gedemer	T	34	14"
"Grant Manley	Azul Garcia Griego	T	35	15"
"Grant Manley	Azul Garcia Griego	L	35	16"
"Jared Woitalla	Ethan Stech	W	3	1"
"Jared Woitalla	Trevor Stier	T	4	2"
"Jared Woitalla	Brenden Novak	W	7	3"
"Jared Woitalla	Regan Retzloff	W	10	4"
"Jared Woitalla	Keelan Day	W	13	5"
"Jared Woitalla	Braden Swenson	W	16	6"
"Jared Woitalla	Ben Cryer	L	16	7"
"Jared Woitalla	Justin West	W	19	8"
"Jared Woitalla	Lucas Benson	W	22	9"
"Jared Woitalla	Josh Clark	W	25	10"
"Jared Woitalla	Dan Hugar	W	28	11"
"Jared Woitalla	Christian Fontenot	W	31	12"
"Jared Woitalla	Azul Garcia Griego	L	31	13"
"Jared Woitalla	Aneil Saini	W	34	14"
"Jared Woitalla	Michael Long	T	35	15"
"Jared Woitalla	Ben Cryer	L	35	16"
"Michael Long	Trevor Tran	W	3	1"
"Michael Long	Tom Savady	W	6	2"
"Michael Long	Jeremy Nelson	W	9	3"
"Michael Long	Jackson Avila	W	12	4"
"Michael Long	Jack Malboeuf	W	15	5"
"Michael Long	Connor Finton	L	15	6"
"Michael Long	Bradley Erickson	W	18	7"
"Michael Long	John Maas	T	19	8"
"Michael Long	Christian Moreno	W	22	9"
"Michael Long	John Maas	L	22	10"
"Michael Long	Nathan Brower	W	25	11"
"Michael Long	Andrew Hedrick	W	28	12"
"Michael Long	derrick schwarz	W	31	13"
"Michael Long	Jeffrey Weiss	W	34	14"
"Michael Long	Jared Woitalla	T	35	15"
"Michael Long	Caleb Gedemer	L	35	16"
"Andrew Weiss	Davin Erickson	W	3	1"
"Andrew Weiss	Riley McKay	W	6	2"
"Andrew Weiss	Bradley Erickson	W	9	3"
"Andrew Weiss	PAUL GIZA	W	12	4"
"Andrew Weiss	Tim Sheridan	W	15	5"
"Andrew Weiss	Aneil Saini	W	18	6"
"Andrew Weiss	Christian LaBella	W	21	7"
"Andrew Weiss	Connor Finton	W	24	8"
"Andrew Weiss	bryan okrey	L	24	9"
"Andrew Weiss	Wesley Hollenberg	W	27	10"
"Andrew Weiss	bryan okrey	L	27	11"
"Andrew Weiss	Connor Finton	W	30	12"
"Andrew Weiss	Daniel Altavilla	T	31	13"
"Andrew Weiss	Henry Brand	L	31	14"
"Andrew Weiss	Ludwig Llanos	W	34	15"
"Muhammad Ideis	Mason Braunel	W	3	1"
"Muhammad Ideis	Kayla Lui	L	3	2"
"Muhammad Ideis	Dennis Peroff	L	3	3"
"Muhammad Ideis	Kevin Garcia	W	6	4"
"Muhammad Ideis	Owen Hegg	W	9	5"
"Muhammad Ideis	Alex krekeler	W	12	6"
"Muhammad Ideis	Ramon Miranda	W	15	7"
"Muhammad Ideis	Felipe Luna	W	18	8"
"Muhammad Ideis	Mason Lovato	T	19	9"
"Muhammad Ideis	Jeffrey Weiss	L	19	10"
"Muhammad Ideis	Marvin Fuentes	W	22	11"
"Muhammad Ideis	Zack Umstead	W	25	12"
"Muhammad Ideis	Christian Moreno	W	28	13"
"Muhammad Ideis	Jordan Nelle	W	31	14"
"Muhammad Ideis	Riley McKay	W	34	15"
"Aneil Saini	Ian Viets	W	3	1"
"Aneil Saini	Richard Vanmanisone	W	6	2"
"Aneil Saini	Nick Foltz	W	9	3"
"Aneil Saini	Cody Byrd	W	12	4"
"Aneil Saini	Ryan Drife	W	15	5"
"Aneil Saini	Andrew Weiss	L	15	6"
"Aneil Saini	Grant Manley	L	15	7"
"Aneil Saini	Nate Kirksey	W	18	8"
"Aneil Saini	Andy Jiang	T	19	9"
"Aneil Saini	Rodney Whiteside	W	22	10"
"Aneil Saini	Dan Irish	W	25	11"
"Aneil Saini	Dan Hugar	W	28	12"
"Aneil Saini	Raymond Long	W	31	13"
"Aneil Saini	Jared Woitalla	L	31	14"
"Aneil Saini	Yehoshua Tate	W	34	15"
"Loc Nguyen	ryan troullier	W	3	1"
"Loc Nguyen	Sam Kelly	T	4	2"
"Loc Nguyen	Brian Kim	L	4	3"
"Loc Nguyen	Ian Buck	W	7	4"
"Loc Nguyen	Julio Santos De Leon	L	7	5"
"Loc Nguyen	Austin Swayne	W	10	6"
"Loc Nguyen	Solomon Poretsky	W	13	7"
"Loc Nguyen	Peter Tanner	W	16	8"
"Loc Nguyen	Jake Ewart	W	19	9"
"Loc Nguyen	Ruben Alejandro Canul Mendoza	L	19	10"
"Loc Nguyen	Mason Lovato	W	22	11"
"Loc Nguyen	Peyton Bauermeister	W	25	12"
"Loc Nguyen	Braiden Elfert	W	28	13"
"Loc Nguyen	David Hendrickson	W	31	14"
"Loc Nguyen	Andrew Hedrick	W	34	15"
"Isaac Milaski	Hector Ceja	W	3	1"
"Isaac Milaski	Abe Morales	W	6	2"
"Isaac Milaski	Kyle Lesniewicz	W	9	3"
"Isaac Milaski	Kason Day	T	10	4"
"Isaac Milaski	Shashi Naraine	W	13	5"
"Isaac Milaski	Cory Koehler	W	16	6"
"Isaac Milaski	Andrew Estrada	W	19	7"
"Isaac Milaski	Josh Clark	W	22	8"
"Isaac Milaski	Steve Wang	W	25	9"
"Isaac Milaski	bryan okrey	W	28	10"
"Isaac Milaski	Grant Manley	L	28	11"
"Isaac Milaski	Caleb Gedemer	L	28	12"
"Isaac Milaski	Jack Moore	W	31	13"
"Isaac Milaski	Ben Cryer	T	32	14"
"Isaac Milaski	Daniel Zhou	T	33	15"
"Wesley Hollenberg	Joseph Sumner	W	3	1"
"Wesley Hollenberg	Manuel Jorach	W	6	2"
"Wesley Hollenberg	Mitch Moritz	L	6	3"
"Wesley Hollenberg	Devon Tilson	W	9	4"
"Wesley Hollenberg	Anthony Kelly	W	12	5"
"Wesley Hollenberg	Juan Mora	W	15	6"
"Wesley Hollenberg	William Diodati	W	18	7"
"Wesley Hollenberg	Ben Dobberstein	W	21	8"
"Wesley Hollenberg	Christian Fontenot	W	24	9"
"Wesley Hollenberg	Andrew Weiss	L	24	10"
