Andrew Hedrick	Matthew Browning	W	3	1
Andrew Hedrick	Jonas Marks	W	6	2
Andrew Hedrick	Bradley Crabtree	W	9	3
Andrew Hedrick	Adrian Valenzuela	W	12	4
Andrew Hedrick	André Miranda	W	15	5
Andrew Hedrick	Calvin Connor	L	15	6
Andrew Hedrick	David Edelson	W	18	7
Andrew Hedrick	Nathan Ginsburg	W	21	8
Andrew Hedrick	Nitish Doolub	W	24	9
Andrew Hedrick	Azul Garcia Griego	L	24	10
Andrew Hedrick	Trevor Tran	W	27	11
Andrew Hedrick	Makani Tran	W	30	12
Andrew Hedrick	Fabrizio Inga Silva	W	33	13
Andrew Hedrick	Jon Eng	T	34	14
Andrew Hedrick	Nicholas Moffitt	T	35	15
Andrew Hedrick	Regan Retzloff	W	38	16
Andrew Hedrick	Nicholas Moffitt	W	41	17
Andrew Hedrick	Isaiah Bradner	W	44	18
Isaiah Bradner	Lyle Narciso	W	3	1
Isaiah Bradner	Manuel Soto	L	3	2
Isaiah Bradner	Eric Straining	W	6	3
Isaiah Bradner	Richard Rogers	W	9	4
Isaiah Bradner	Michael Bio	T	10	5
Isaiah Bradner	Jordan Cox	W	13	6
Isaiah Bradner	Thomas Veazie	W	16	7
Isaiah Bradner	Andrew Gantner	W	19	8
Isaiah Bradner	Parker Greenwald	W	22	9
Isaiah Bradner	Bartholomew Musser	T	23	10
Isaiah Bradner	Grant Hays	W	26	11
Isaiah Bradner	Franco Takahashi	W	29	12
Isaiah Bradner	Xander Pero	W	32	13
Isaiah Bradner	Jeffrey Weiss	W	35	14
Isaiah Bradner	Regan Retzloff	T	36	15
Isaiah Bradner	Grant Hays	W	39	16
Isaiah Bradner	Calvin Connor	W	42	17
Isaiah Bradner	Andrew Hedrick	L	42	18
Nicholas Moffitt	Elson Rosario	W	3	1
Nicholas Moffitt	Kevin Johns	W	6	2
Nicholas Moffitt	Andrew Wu	L	6	3
Nicholas Moffitt	Aaron Tarbell	T	7	4
Nicholas Moffitt	Dalton Farley	W	10	5
Nicholas Moffitt	Dylan Gunn	W	13	6
Nicholas Moffitt	Trevor Redding	W	16	7
Nicholas Moffitt	Stephen Palombo	W	19	8
Nicholas Moffitt	Gabriel Smart	W	22	9
Nicholas Moffitt	vincent gillette	W	25	10
Nicholas Moffitt	Xander Pero	L	25	11
Nicholas Moffitt	Glenn Douyard	W	28	12
Nicholas Moffitt	Parker Greenwald	W	31	13
Nicholas Moffitt	Jan Fischer	W	34	14
Nicholas Moffitt	Andrew Hedrick	T	35	15
Nicholas Moffitt	Austin Reed	W	38	16
Nicholas Moffitt	Andrew Hedrick	L	38	17
Calvin Connor	Ely Greenfeld	W	3	1
Calvin Connor	Michael Canaves	W	6	2
Calvin Connor	Glenn Douyard	W	9	3
Calvin Connor	Christopher Zervos	W	12	4
Calvin Connor	Andres Alderette	W	15	5
Calvin Connor	Andrew Hedrick	W	18	6
Calvin Connor	Alec G	W	21	7
Calvin Connor	Victor Aung	L	21	8
