Tord Reklev	Jerrick Gumila	T	1	1
Tord Reklev	Spencer Trippi	W	4	2
Tord Reklev	HECTOR IBARRA	W	7	3
Tord Reklev	Riley Pazdera	L	7	4
Tord Reklev	Jordan Rinard	W	10	5
Tord Reklev	Jeffrey Nieslawski	W	13	6
Tord Reklev	Vincent Owen	W	16	7
Tord Reklev	Jonathan Valenzuela	L	16	8
Tord Reklev	Jeremy Gumila	W	19	9
Tord Reklev	Jake Blandina	W	22	10
Tord Reklev	Zackary Estridge	W	25	11
Tord Reklev	Greg Kerien	W	28	12
Tord Reklev	Enrique Avila	W	31	13
Tord Reklev	Kidd Starck	W	34	14
Tord Reklev	Jon Eng	T	35	15
Tord Reklev	Jon Eng	W	38	16
Tord Reklev	Zakary Krekeler	W	41	17
Tord Reklev	Calvin Connor	W	44	18
Calvin Connor	Jake Anderson	L	0	1
Calvin Connor	Robin Hatch	W	3	2
Calvin Connor	Tristen Pence	W	6	3
Calvin Connor	Dennis Peroff	T	7	4
Calvin Connor	Milan Patel	W	10	5
Calvin Connor	Miguel Taboada	W	13	6
Calvin Connor	Tyler Mathews	W	16	7
Calvin Connor	Joe Turrentine	W	19	8
Calvin Connor	Zackary Estridge	W	22	9
Calvin Connor	Eric Smith	W	25	10
Calvin Connor	Liam Petrie	W	28	11
Calvin Connor	Zakary Krekeler	L	28	12
Calvin Connor	Andrew Gantner	L	28	13
Calvin Connor	blake wray	W	31	14
Calvin Connor	Adler Pierce	W	34	15
Calvin Connor	Andrew Hedrick	W	37	16
Calvin Connor	Yehoshua Tate	W	40	17
Calvin Connor	Tord Reklev	L	40	18
Yehoshua Tate	Joe Merod	W	3	1
Yehoshua Tate	Eric Smith	L	3	2
Yehoshua Tate	Dan Hugar	W	6	3
Yehoshua Tate	Kristopher Kemp	T	7	4
Yehoshua Tate	Nicholas Homa	W	10	5
Yehoshua Tate	eugene davis	T	11	6
Yehoshua Tate	ZLATAN TERZIC	W	14	7
Yehoshua Tate	David Selin	W	17	8
Yehoshua Tate	Daniel Stidd	W	20	9
Yehoshua Tate	Jonathan Valenzuela	W	23	10
Yehoshua Tate	Jeremy Gibson	W	26	11
Yehoshua Tate	Nic Stewart	W	29	12
Yehoshua Tate	Michael Pramawat	W	32	13
Yehoshua Tate	Andrew Hedrick	L	32	14
Yehoshua Tate	Isaiah Bradner	W	35	15
Yehoshua Tate	Osvaldo Murillo	W	38	16
Yehoshua Tate	Calvin Connor	L	38	17
Zakary Krekeler	David Negrete	W	3	1
Zakary Krekeler	Tyler Zikorus	W	6	2
Zakary Krekeler	Jacob A Dillon	W	9	3
Zakary Krekeler	Eric Smith	W	12	4
Zakary Krekeler	Andrew Krekeler	W	15	5
Zakary Krekeler	Muhamed Palatinus	W	18	6
Zakary Krekeler	Trenton Lichter	T	19	7
Zakary Krekeler	Andrew Hedrick	L	19	8
Zakary Krekeler	Andrew Mahone	W	22	9
Zakary Krekeler	Zander Bennett	W	25	10
Zakary Krekeler	Andrew Krekeler	W	28	11
Zakary Krekeler	Calvin Connor	W	31	12
Zakary Krekeler	Jon Eng	T	32	13
Zakary Krekeler	Riley Hulbert	W	35	14
Zakary Krekeler	Andrew Hedrick	L	35	15
Zakary Krekeler	Angel Miranda	W	38	16
Zakary Krekeler	Tord Reklev	L	38	17
Andrew Hedrick	Jonathan Croxton	W	3	1
Andrew Hedrick	Blaine Hill	W	6	2
Andrew Hedrick	Andrew Munoz	T	7	3
Andrew Hedrick	Steven Bates	W	10	4
Andrew Hedrick	Justin Stites	W	13	5
Andrew Hedrick	Steven Martinez	W	16	6
Andrew Hedrick	Jeffrey Weiss	W	19	7
Andrew Hedrick	Zakary Krekeler	W	22	8
Andrew Hedrick	Andrew Gantner	W	25	9
Andrew Hedrick	Jon Eng	W	28	10
Andrew Hedrick	Riley Hulbert	L	28	11
Andrew Hedrick	Andrew Gantner	W	31	12
Andrew Hedrick	Osvaldo Murillo	W	34	13
Andrew Hedrick	Yehoshua Tate	W	37	14
Andrew Hedrick	Zakary Krekeler	W	40	15
Andrew Hedrick	Calvin Connor	L	40	16
Angel Miranda	Avrey Spengler	T	1	1
Angel Miranda	Mitchell Spenler	W	4	2
Angel Miranda	Brant Lesher	W	7	3
Angel Miranda	Chris Hoag	L	7	4
Angel Miranda	Bartholomew Musser	L	7	5
Angel Miranda	Josh Hunt	W	10	6
Angel Miranda	Andrew Murley	W	13	7
Angel Miranda	Jac Carter	W	16	8
Angel Miranda	Ethan Kirkland	W	19	9
Angel Miranda	Scotty Chesser	W	22	10
Angel Miranda	Isaac Cichacki	W	25	11
Angel Miranda	Andrew Krekeler	W	28	12
Angel Miranda	Dan Irish	W	31	13
Angel Miranda	Andrew Gantner	W	34	14
Angel Miranda	Riley Hulbert	W	37	15
Angel Miranda	Zakary Krekeler	L	37	16
Jon Eng	Ricardo Torres	W	3	1
Jon Eng	Alex Hester	W	6	2
Jon Eng	Matthew Bertrand	W	9	3
Jon Eng	Joshua Frei	W	12	4
Jon Eng	Craig Eoff	W	15	5
Jon Eng	Darin O'Meara	W	18	6
Jon Eng	Andrew Mahone	W	21	7
Jon Eng	Raymond Long	W	24	8
Jon Eng	Liam Petrie	W	27	9
Jon Eng	Andrew Hedrick	L	27	10
Jon Eng	Michael Pramawat	W	30	11
Jon Eng	Riley Hulbert	W	33	12
Jon Eng	Zakary Krekeler	T	34	13
Jon Eng	Liam Petrie	T	35	14
Jon Eng	Tord Reklev	T	36	15
Jon Eng	Tord Reklev	L	36	16
Osvaldo Murillo	Cassidy Gibson	L	0	1
Osvaldo Murillo	Carington Huffman	W	3	2
Osvaldo Murillo	Brandon Carter	W	6	3
Osvaldo Murillo	Kaiden Brunke	W	9	4
Osvaldo Murillo	Corey Scanlon	W	12	5
Osvaldo Murillo	Noah Sawyer	W	15	6
Osvaldo Murillo	Sammy Allen	W	18	7
Osvaldo Murillo	Orion Sutherland	W	21	8
Osvaldo Murillo	Justin Bokhari	W	24	9
Osvaldo Murillo	Riley Hulbert	L	24	10
Osvaldo Murillo	Riley Wren	W	27	11
Osvaldo Murillo	Aaron Tarbell	W	30	12
Osvaldo Murillo	Andrew Hedrick	L	30	13
Osvaldo Murillo	Xander Pero	W	33	14
Osvaldo Murillo	Michael Pramawat	W	36	15
Osvaldo Murillo	Yehoshua Tate	L	36	16
Kidd Starck	Jarod Payne	L	0	1
Kidd Starck	Tavaris Dunn	W	3	2
Kidd Starck	Noah Peterson	W	6	3
Kidd Starck	Nathaniel Stoess	W	9	4
Kidd Starck	Tyler Ashlock	W	12	5
Kidd Starck	Samuel Hovda	W	15	6
Kidd Starck	Robert Rood	T	16	7
Kidd Starck	Kolton Day	W	19	8
Kidd Starck	Trenton Lichter	W	22	9
Kidd Starck	Andrew Gantner	L	22	10
Kidd Starck	Yamil Pietri	W	25	11
Kidd Starck	Ely Greenfeld	W	28	12
Kidd Starck	Frank Percic	W	31	13
Kidd Starck	Tord Reklev	L	31	14
Kidd Starck	Caleb Patton	W	34	15
Scotty Chesser	Andrew Munoz	L	0	1
Scotty Chesser	Tanner Caplinger	W	3	2
Scotty Chesser	Noah Spinale	W	6	3
Scotty Chesser	Valerie Applegate	W	9	4
Scotty Chesser	Jason Okayama	W	12	5
Scotty Chesser	Jayden Chow	L	12	6
Scotty Chesser	Alexa Little	W	15	7
Scotty Chesser	Elijah Quan	W	18	8
Scotty Chesser	Jeffrey Weiss	T	19	9
Scotty Chesser	Angel Miranda	L	19	10
Scotty Chesser	Jayden Chow	W	22	11
Scotty Chesser	Orion Sutherland	W	25	12
Scotty Chesser	Julio Santos De Leon	W	28	13
Scotty Chesser	Nic Stewart	W	31	14
Scotty Chesser	Andrew Gantner	W	34	15
Abijah Jongsma	Alexis Frisk	W	3	1
Abijah Jongsma	Tyler Renfro	W	6	2
Abijah Jongsma	Conor Devins	W	9	3
Abijah Jongsma	Nic Stewart	L	9	4
Abijah Jongsma	Guy Sargent	W	12	5
Abijah Jongsma	Nixon Cedillos	W	15	6
Abijah Jongsma	Jayden Chow	W	18	7
Abijah Jongsma	Justin Bokhari	L	18	8
Abijah Jongsma	Craig Eoff	T	19	9
Abijah Jongsma	Aaron Duggan	W	22	10
Abijah Jongsma	Craig Eoff	W	25	11
Abijah Jongsma	Brenden Martin	W	28	12
Abijah Jongsma	Liam Petrie	L	28	13
Abijah Jongsma	Christian LaBella	W	31	14
Abijah Jongsma	Conner LaVelle	W	34	15
Fred Singer IV	Steven Anderson	W	3	1
Fred Singer IV	Mustafa Tobah	L	3	2
Fred Singer IV	Jeff Heimann	W	6	3
Fred Singer IV	Ethan Hamer	L	6	4
Fred Singer IV	Alex Fusco	W	9	5
Fred Singer IV	Alex Roe-Gulke	W	12	6
Fred Singer IV	Kenny Packala	W	15	7
Fred Singer IV	Kyle Madison	W	18	8
Fred Singer IV	Shukri Ideis	T	19	9
Fred Singer IV	BJ Brownell	W	22	10
Fred Singer IV	Greg Kerien	L	22	11
Fred Singer IV	Alex Schemanske	W	25	12
Fred Singer IV	Daniel Zhou	W	28	13
Fred Singer IV	Muhammad Ideis	W	31	14
Fred Singer IV	Andrew Mahone	W	34	15
Craig Eoff	Jesse Bronson	W	3	1
Craig Eoff	Jon Hu	W	6	2
Craig Eoff	Tyler Wichers	W	9	3
Craig Eoff	Ely Greenfeld	W	12	4
Craig Eoff	Jon Eng	L	12	5
Craig Eoff	Justin Tse	W	15	6
Craig Eoff	Marquell Gilles	L	15	7
Craig Eoff	Sim Mortimer	W	18	8
Craig Eoff	Abijah Jongsma	T	19	9
Craig Eoff	Trenton Lichter	W	22	10
Craig Eoff	Abijah Jongsma	L	22	11
Craig Eoff	Eric Smith	W	25	12
Craig Eoff	Brenden Martin	W	28	13
Craig Eoff	Darin O'Meara	W	31	14
Craig Eoff	Dan Irish	W	34	15
Riley Hulbert	Ben Dobberstein	W	3	1
Riley Hulbert	Oliver Stark	W	6	2
Riley Hulbert	Jeremy Pettit	L	6	3
Riley Hulbert	Andrew Figueroa	W	9	4
Riley Hulbert	Conor Devins	W	12	5
Riley Hulbert	Sky DelaCruz	W	15	6
Riley Hulbert	Muhamed Palatinus	W	18	7
Riley Hulbert	BJ Brownell	W	21	8
Riley Hulbert	Darin O'Meara	W	24	9
Riley Hulbert	Osvaldo Murillo	W	27	10
Riley Hulbert	Andrew Hedrick	W	30	11
Riley Hulbert	Jon Eng	L	30	12
