Derick Dao [AU]	Brent Tonisson [AU]	L	0	1
Derick Dao [AU]	Matthew Nichols [AU]	W	3	2
Derick Dao [AU]	Jeremy Lℹ️m 🤟😎🤟 [AU]	T	4	3
Derick Dao [AU]	Justin Payne [AU]	W	7	4
Derick Dao [AU]	Bradley Sachse [AU]	W	10	5
Derick Dao [AU]	James Williams [AU]	W	13	6
Derick Dao [AU]	Chee How Liew [AU]	W	16	7
Derick Dao [AU]	Christian Hasbani [AU]	W	19	8
Derick Dao [AU]	Jeremy Evans [AU]	W	22	9
Derick Dao [AU]	Joko Wong [ID]	W	25	10
Joko Wong [ID]	Jeremy Cheyne [AU]	W	3	1
Joko Wong [ID]	James Williams [AU]	L	3	2
Joko Wong [ID]	David Stevens [AU]	W	6	3
Joko Wong [ID]	Mitch Knuckey [AU]	W	9	4
Joko Wong [ID]	Duy Le [AU]	W	12	5
Joko Wong [ID]	Ehren Roebuck [AU]	T	13	6
Joko Wong [ID]	Anthony Tsang [AU]	W	16	7
Joko Wong [ID]	Corey Munro [AU]	W	19	8
Joko Wong [ID]	Jake Lazzari [AU]	W	22	9
Joko Wong [ID]	Derick Dao [AU]	L	22	10
Jeremy Evans [AU]	Alvin Hall [AU]	W	3	1
Jeremy Evans [AU]	Paul Coletta [AU]	T	4	2
Jeremy Evans [AU]	Luke Schmitt [AU]	W	7	3
Jeremy Evans [AU]	Ethan Lee [AU]	W	10	4
Jeremy Evans [AU]	Lewis Stevens [AU]	W	13	5
Jeremy Evans [AU]	Stephen Kirk [AU]	W	16	6
Jeremy Evans [AU]	Christian Hasbani [AU]	T	17	7
Jeremy Evans [AU]	Corey O’Leary [AU]	W	20	8
Jeremy Evans [AU]	Derick Dao [AU]	L	20	9
Jake Lazzari [AU]	Scott Free [AU]	W	3	1
Jake Lazzari [AU]	Chee How Liew [AU]	L	3	2
Jake Lazzari [AU]	Jared Fischer-Rasmussen [AU]	W	6	3
Jake Lazzari [AU]	Christian Delloiaco [AU]	L	6	4
Jake Lazzari [AU]	Christina Cao [AU]	W	9	5
Jake Lazzari [AU]	Aaron-Lee Cole [AU]	W	12	6
Jake Lazzari [AU]	Darcy 🤡 Ryan [AU]	W	15	7
Jake Lazzari [AU]	Natalie Millar [AU]	W	18	8
Jake Lazzari [AU]	Joko Wong [ID]	L	18	9
Natalie Millar [AU]	Matthew Bray [AU]	W	3	1
Natalie Millar [AU]	Ehren Roebuck [AU]	W	6	2
Natalie Millar [AU]	Bradley Sachse [AU]	W	9	3
Natalie Millar [AU]	Aaron-Lee Cole [AU]	W	12	4
Natalie Millar [AU]	Christian Hasbani [AU]	T	13	5
Natalie Millar [AU]	Darcy 🤡 Ryan [AU]	W	16	6
Natalie Millar [AU]	Corey O’Leary [AU]	T	17	7
Natalie Millar [AU]	Jake Lazzari [AU]	L	17	8
Christian Hasbani [AU]	Christina Cao [AU]	W	3	1
Christian Hasbani [AU]	Daniel Hing [AU]	W	6	2
Christian Hasbani [AU]	Ethan Lee [AU]	W	9	3
Christian Hasbani [AU]	Nick Bell [AU]	W	12	4
Christian Hasbani [AU]	Natalie Millar [AU]	T	13	5
Christian Hasbani [AU]	Joshua Courtney [AU]	W	16	6
Christian Hasbani [AU]	Jeremy Evans [AU]	T	17	7
Christian Hasbani [AU]	Derick Dao [AU]	L	17	8
Corey Munro [AU]	Matthew Nichols [AU]	W	3	1
Corey Munro [AU]	Sam Clayfield [AU]	T	4	2
Corey Munro [AU]	Jacob McSpadden [AU]	W	7	3
Corey Munro [AU]	Chee How Liew [AU]	L	7	4
Corey Munro [AU]	Jorge Soria [AU]	W	10	5
Corey Munro [AU]	Sam Hynes [AU]	W	13	6
Corey Munro [AU]	Duy Le [AU]	W	16	7
Corey Munro [AU]	Joko Wong [ID]	L	16	8
Corey O’Leary [AU]	Geoff Woodhead [NZ]	T	1	1
Corey O’Leary [AU]	Julian Luvara [AU]	T	2	2
Corey O’Leary [AU]	Jack Oldfield [AU]	W	5	3
Corey O’Leary [AU]	Yasuyuki Handa [AU]	W	8	4
Corey O’Leary [AU]	Christian Delloiaco [AU]	W	11	5
Corey O’Leary [AU]	Paul Coletta [AU]	W	14	6
Corey O’Leary [AU]	Natalie Millar [AU]	T	15	7
Corey O’Leary [AU]	Jeremy Evans [AU]	L	15	8
Benjamin Hall [AU]	Yasuyuki Handa [AU]	L	0	1
Benjamin Hall [AU]	Max Prescott [AU]	L	0	2
Benjamin Hall [AU]	Erin Ryan [AU]	W	3	3
Benjamin Hall [AU]	Chen Junhan [AU]	W	6	4
Benjamin Hall [AU]	Kelvin Duong [AU]	W	9	5
Benjamin Hall [AU]	Ryan Tan [GB]	W	12	6
Benjamin Hall [AU]	Christian Delloiaco [AU]	W	15	7
Blake Davies [AU]	Darcy 🤡 Ryan [AU]	L	0	1
Blake Davies [AU]	Jeremy Lℹ️m 🤟😎🤟 [AU]	L	0	2
Blake Davies [AU]	Montanna O'Byrne [AU]	W	3	3
Blake Davies [AU]	Hayden Price [AU]	W	6	4
Blake Davies [AU]	Jordan LaBrooy-Thierry [AU]	W	9	5
Blake Davies [AU]	Angus Johnson [AU]	W	12	6
Blake Davies [AU]	Scott Langford [AU]	W	15	7
James Williams [AU]	Craig McLachlan [AU]	W	3	1
James Williams [AU]	Joko Wong [ID]	W	6	2
James Williams [AU]	Chee How Liew [AU]	T	7	3
James Williams [AU]	Mathew masefield [AU]	W	10	4
James Williams [AU]	Paul Coletta [AU]	T	11	5
James Williams [AU]	Derick Dao [AU]	L	11	6
James Williams [AU]	Dave Timlin [AU]	W	14	7
Paul Coletta [AU]	Tane Rose [AU]	W	3	1
Paul Coletta [AU]	Jeremy Evans [AU]	T	4	2
Paul Coletta [AU]	Brayden Ryan [AU]	W	7	3
Paul Coletta [AU]	Duy Le [AU]	W	10	4
Paul Coletta [AU]	James Williams [AU]	T	11	5
Paul Coletta [AU]	Corey O’Leary [AU]	L	11	6
Paul Coletta [AU]	Jorge Soria [AU]	W	14	7
Joshua Courtney [AU]	Sam Hynes [AU]	T	1	1
Joshua Courtney [AU]	James Pattison [AU]	W	4	2
Joshua Courtney [AU]	TJ Dixon [AU]	W	7	3
Joshua Courtney [AU]	Jacob Sparks [AU]	W	10	4
Joshua Courtney [AU]	Chee How Liew [AU]	W	13	5
Joshua Courtney [AU]	Christian Hasbani [AU]	L	13	6
Joshua Courtney [AU]	Stephen Kirk [AU]	T	14	7
Stephen Kirk [AU]	Dave Timlin [AU]	W	3	1
Stephen Kirk [AU]	Brayden Ryan [AU]	T	4	2
Stephen Kirk [AU]	Julian Luvara [AU]	W	7	3
Stephen Kirk [AU]	Jimmy Chen [AU]	W	10	4
Stephen Kirk [AU]	Aaron-Lee Cole [AU]	W	13	5
Stephen Kirk [AU]	Jeremy Evans [AU]	L	13	6
Stephen Kirk [AU]	Joshua Courtney [AU]	T	14	7
Ehren Roebuck [AU]	Peter Ghionis [AU]	W	3	1
Ehren Roebuck [AU]	Natalie Millar [AU]	L	3	2
Ehren Roebuck [AU]	Max Prescott [AU]	W	6	3
Ehren Roebuck [AU]	Jordan Ung [AU]	T	7	4
Ehren Roebuck [AU]	Scott Free [AU]	W	10	5
Ehren Roebuck [AU]	Joko Wong [ID]	T	11	6
Ehren Roebuck [AU]	Sam Clayfield [AU]	W	14	7
Mathew masefield [AU]	Thanh Pham [AU]	W	3	1
Mathew masefield [AU]	Lewis Stevens [AU]	T	4	2
Mathew masefield [AU]	Aldo Anselmo [AU]	W	7	3
Mathew masefield [AU]	James Williams [AU]	L	7	4
Mathew masefield [AU]	Jordan Ung [AU]	W	10	5
Mathew masefield [AU]	Sam Clayfield [AU]	T	11	6
Mathew masefield [AU]	Sameer Sangwan [AU]	W	14	7
Jacob Sparks [AU]	Anton Piccio [AU]	T	1	1
Jacob Sparks [AU]	Marco Giovannini [AU]	W	4	2
Jacob Sparks [AU]	Luke Mayers [AU]	W	7	3
Jacob Sparks [AU]	Joshua Courtney [AU]	L	7	4
Jacob Sparks [AU]	Jimmy Chen [AU]	T	8	5
Jacob Sparks [AU]	Sophia Crunkhorn [AU]	W	11	6
Jacob Sparks [AU]	Lewis Stevens [AU]	W	14	7
Chee How Liew [AU]	Ongko Sriono [AU]	W	3	1
Chee How Liew [AU]	Jake Lazzari [AU]	W	6	2
Chee How Liew [AU]	James Williams [AU]	T	7	3
Chee How Liew [AU]	Corey Munro [AU]	W	10	4
Chee How Liew [AU]	Joshua Courtney [AU]	L	10	5
Chee How Liew [AU]	Nick Bell [AU]	W	13	6
Chee How Liew [AU]	Derick Dao [AU]	L	13	7
Anthony Tsang [AU]	Hayden Price [AU]	T	1	1
Anthony Tsang [AU]	Geoff Woodhead [NZ]	W	4	2
Anthony Tsang [AU]	Lewis Stevens [AU]	L	4	3
Anthony Tsang [AU]	Luke Schmitt [AU]	W	7	4
Anthony Tsang [AU]	Benjamin Kouzas [AU]	W	10	5
Anthony Tsang [AU]	Daniel Ross-Brown [AU]	W	13	6
Anthony Tsang [AU]	Joko Wong [ID]	L	13	7
Ethan Lee [AU]	Jordan Ung [AU]	W	3	1
Ethan Lee [AU]	Daniel Jarrett [AU]	W	6	2
Ethan Lee [AU]	Christian Hasbani [AU]	L	6	3
Ethan Lee [AU]	Jeremy Evans [AU]	L	6	4
Ethan Lee [AU]	Yasuyuki Handa [AU]	T	7	5
Ethan Lee [AU]	TJ Dixon [AU]	W	10	6
Ethan Lee [AU]	Daniel Hing [AU]	W	13	7
Luke Schmitt [AU]	Keegan Burt [AU]	T	1	1
Luke Schmitt [AU]	Sam Hynes [AU]	W	4	2
Luke Schmitt [AU]	Jeremy Evans [AU]	L	4	3
Luke Schmitt [AU]	Anthony Tsang [AU]	L	4	4
Luke Schmitt [AU]	Jeremy Lℹ️m 🤟😎🤟 [AU]	W	7	5
Luke Schmitt [AU]	Yasuyuki Handa [AU]	W	10	6
Luke Schmitt [AU]	Bradley Sachse [AU]	W	13	7
