Dalton Acchetta	Braulio Benedito	W	3	1
Dalton Acchetta	Rodolfo Ferreira	T	4	2
Dalton Acchetta	Victor hugo Pasqualino de Carvalho	W	7	3
Dalton Acchetta	Thiago Burda Mayer	W	10	4
Dalton Acchetta	João Vitor De Sá Medeiros Santos	L	10	5
Dalton Acchetta	Winston Chiba	W	13	6
Dalton Acchetta	lucas santos	W	16	7
Dalton Acchetta	Raissa Arruda	W	19	8
Dalton Acchetta	Patricia Gonzalez Walsh	W	22	9
Dalton Acchetta	Giovanni Peragallo	T	23	10
Dalton Acchetta	Leonardo Nascimento	W	26	11
Dalton Acchetta	Felipe Beraldo	W	29	12
Dalton Acchetta	Patricia Gonzalez Walsh	T	30	13
Dalton Acchetta	Pedro Pertusi	T	31	14
Dalton Acchetta	Caio Navarro	W	34	15
Dalton Acchetta	Pedro Pertusi	W	37	16
Dalton Acchetta	Raissa Arruda	W	40	17
Raissa Arruda	Marcus Ramos	T	1	1
Raissa Arruda	Mateus Reis	W	4	2
Raissa Arruda	Marcelo Pacaje	W	7	3
Raissa Arruda	André Miranda	W	10	4
Raissa Arruda	Patricia Gonzalez Walsh	L	10	5
Raissa Arruda	Thiago Burda Mayer	W	13	6
Raissa Arruda	Leandro Fernandes	W	16	7
Raissa Arruda	Dalton Acchetta	L	16	8
Raissa Arruda	Cássio Mussulini	W	19	9
Raissa Arruda	gustavo wada	W	22	10
Raissa Arruda	Marcelo Pacaje	W	25	11
Raissa Arruda	Leonardo Nascimento	W	28	12
Raissa Arruda	Giovanni Peragallo	T	29	13
Raissa Arruda	Felipe Beraldo	T	30	14
Raissa Arruda	Felipe Beraldo	W	33	15
Raissa Arruda	Patricia Gonzalez Walsh	W	36	16
Raissa Arruda	Dalton Acchetta	L	36	17
Pedro Pertusi	Gabriel Ienaga	T	1	1
Pedro Pertusi	Dhiego Garcia	T	2	2
Pedro Pertusi	Ignacio Rzeszut	W	5	3
Pedro Pertusi	EDUARDO DORCINIO	L	5	4
Pedro Pertusi	MARCELO SABIA	W	8	5
Pedro Pertusi	Lucca Garcia	W	11	6
Pedro Pertusi	Fellipe Da Costa	W	14	7
Pedro Pertusi	André Miranda	W	17	8
Pedro Pertusi	Ricardo Felipe	W	20	9
Pedro Pertusi	Lucas Matheus	W	23	10
Pedro Pertusi	Rodolfo Ferreira	W	26	11
Pedro Pertusi	Giovanni Peragallo	L	26	12
Pedro Pertusi	Pedro Lacerda	W	29	13
Pedro Pertusi	Dalton Acchetta	T	30	14
Pedro Pertusi	gustavo wada	W	33	15
Pedro Pertusi	Dalton Acchetta	L	33	16
Patricia Gonzalez Walsh	Diego Zaicovski	T	1	1
Patricia Gonzalez Walsh	Tiarles Assis	W	4	2
Patricia Gonzalez Walsh	Diego Barbosa	W	7	3
Patricia Gonzalez Walsh	Marlon Luis Aver	W	10	4
Patricia Gonzalez Walsh	Raissa Arruda	W	13	5
Patricia Gonzalez Walsh	Leandro Fernandes	W	16	6
Patricia Gonzalez Walsh	Felipe Urias	W	19	7
Patricia Gonzalez Walsh	Giovanni Peragallo	T	20	8
Patricia Gonzalez Walsh	Dalton Acchetta	L	20	9
Patricia Gonzalez Walsh	Atila Augusto	L	20	10
Patricia Gonzalez Walsh	Ricardo Vilela	W	23	11
Patricia Gonzalez Walsh	Joao Bastos	W	26	12
Patricia Gonzalez Walsh	Dalton Acchetta	T	27	13
Patricia Gonzalez Walsh	Marcelo Pacaje	W	30	14
Patricia Gonzalez Walsh	Giovanni Peragallo	W	33	15
Patricia Gonzalez Walsh	Raissa Arruda	L	33	16
Giovanni Peragallo	Luis Pedro Ferrari Esbadalate	W	3	1
Giovanni Peragallo	Nikolas Sales	W	6	2
Giovanni Peragallo	Paulo Gouveia de Freitas	W	9	3
Giovanni Peragallo	Marcelo Cansian	W	12	4
Giovanni Peragallo	facundo facio	W	15	5
Giovanni Peragallo	Felipe Beraldo	W	18	6
Giovanni Peragallo	Agustín Campo	W	21	7
Giovanni Peragallo	Patricia Gonzalez Walsh	T	22	8
