Mateusz Łaszkiewicz [PL]	Thomas Heijdemann [NL]	W	3	1
Mateusz Łaszkiewicz [PL]	Steve Slabke [DE]	L	3	2
Mateusz Łaszkiewicz [PL]	Wang Hin Lau [GB]	W	6	3
Mateusz Łaszkiewicz [PL]	Florian Kugler [DE]	T	7	4
Mateusz Łaszkiewicz [PL]	Dimitri Sonck [BE]	L	7	5
Mateusz Łaszkiewicz [PL]	Osvaldo Mourinho [PT]	W	10	6
Mateusz Łaszkiewicz [PL]	Gilles Heyndrickx [BE]	W	13	7
Mateusz Łaszkiewicz [PL]	Jimmy Marcus Munk [DK]	W	16	8
Mateusz Łaszkiewicz [PL]	Lucas Brausch [DE]	W	19	9
Mateusz Łaszkiewicz [PL]	BYE	W	22	10
Mateusz Łaszkiewicz [PL]	Filippo Petrolli [IT]	W	25	11
Mateusz Łaszkiewicz [PL]	Brent Coosemans [BE]	W	28	12
Mateusz Łaszkiewicz [PL]	Raz Wolpe [IL]	W	31	13
Mateusz Łaszkiewicz [PL]	Piotr Orleański [PL]	T	32	14
Mateusz Łaszkiewicz [PL]	Sander Wojcik [NL]	W	35	15
Mateusz Łaszkiewicz [PL]	Magnus Pedersen [DK]	W	38	16
Mateusz Łaszkiewicz [PL]	Brent Coosemans [BE]	W	41	17
Brent Coosemans [BE]	Jan Fischer [DE]	W	3	1
Brent Coosemans [BE]	Vincent Fatunz [DE]	W	6	2
Brent Coosemans [BE]	Gavin Irving [GB]	W	9	3
Brent Coosemans [BE]	Yoann Barszezak [FR]	W	12	4
Brent Coosemans [BE]	Magnus Pedersen [DK]	W	15	5
Brent Coosemans [BE]	Dominik Blache [DE]	L	15	6
Brent Coosemans [BE]	Thomas Oldenhof [NL]	W	18	7
Brent Coosemans [BE]	Vianney Leroy [FR]	T	19	8
Brent Coosemans [BE]	Raz Wolpe [IL]	W	22	9
Brent Coosemans [BE]	Bryan de Vries [NL]	W	25	10
Brent Coosemans [BE]	Sander Wojcik [NL]	T	26	11
Brent Coosemans [BE]	Mateusz Łaszkiewicz [PL]	L	26	12
Brent Coosemans [BE]	Stefano Bassis [IT]	W	29	13
Brent Coosemans [BE]	Alessandro Cremascoli [IT]	W	32	14
Brent Coosemans [BE]	Liliana Imrichová [SK]	W	35	15
Brent Coosemans [BE]	Jari Bonsee [NL]	W	38	16
Brent Coosemans [BE]	Mateusz Łaszkiewicz [PL]	L	38	17
Jari Bonsee [NL]	Alexander Rock [DE]	W	3	1
Jari Bonsee [NL]	Yang SHI [FR]	W	6	2
Jari Bonsee [NL]	Marijn van Duivenboden [NL]	W	9	3
Jari Bonsee [NL]	Jakub Skiba [PL]	W	12	4
Jari Bonsee [NL]	Filippo Petrolli [IT]	W	15	5
Jari Bonsee [NL]	Alessandro Cremascoli [IT]	T	16	6
Jari Bonsee [NL]	Pedro Eugenio Torres [ES]	W	19	7
Jari Bonsee [NL]	Jonathan Sharpling [GB]	L	19	8
Jari Bonsee [NL]	Kacper Mazurkiewicz [PL]	W	22	9
Jari Bonsee [NL]	Jonathan Sharpling [GB]	T	23	10
Jari Bonsee [NL]	Timur Yusuf [GB]	W	26	11
Jari Bonsee [NL]	Pere Arbós Parets [ES]	W	29	12
Jari Bonsee [NL]	Jamie Hindley [GB]	W	32	13
Jari Bonsee [NL]	Magnus Pedersen [DK]	T	33	14
Jari Bonsee [NL]	Jamie Hindley [GB]	W	36	15
Jari Bonsee [NL]	Brent Coosemans [BE]	L	36	16
Magnus Pedersen [DK]	Ky N'guyen [FR]	W	3	1
Magnus Pedersen [DK]	Tim Iwens [BE]	W	6	2
Magnus Pedersen [DK]	heddi Brahmi [FR]	W	9	3
Magnus Pedersen [DK]	Mateusz Rusinek [PL]	W	12	4
Magnus Pedersen [DK]	Brent Coosemans [BE]	L	12	5
Magnus Pedersen [DK]	Gabor Van Meenen [DE]	W	15	6
Magnus Pedersen [DK]	Gunter Van Roey [BE]	W	18	7
Magnus Pedersen [DK]	Lucian Hargreaves [GB]	W	21	8
Magnus Pedersen [DK]	Jonathan Sharpling [GB]	W	24	9
Magnus Pedersen [DK]	Logan Madden [GB]	W	27	10
Magnus Pedersen [DK]	Joe Bernard [GB]	W	30	11
Magnus Pedersen [DK]	Ondřej Škubal [CZ]	T	31	12
Magnus Pedersen [DK]	Piotr Orleański [PL]	T	32	13
Magnus Pedersen [DK]	Jari Bonsee [NL]	T	33	14
Magnus Pedersen [DK]	Piotr Orleański [PL]	W	36	15
Magnus Pedersen [DK]	Mateusz Łaszkiewicz [PL]	L	36	16
Liliana Imrichová [SK]	Nick Theunis [BE]	W	3	1
Liliana Imrichová [SK]	Chastang Eline [FR]	W	6	2
Liliana Imrichová [SK]	Amir Oppenheim-Nevo [IL]	W	9	3
Liliana Imrichová [SK]	Andreas Møller [DK]	W	12	4
Liliana Imrichová [SK]	Logan Madden [GB]	L	12	5
Liliana Imrichová [SK]	Steven Mao [DE]	W	15	6
Liliana Imrichová [SK]	Lucian Hargreaves [GB]	L	15	7
Liliana Imrichová [SK]	Pedro Eugenio Torres [ES]	T	16	8
Liliana Imrichová [SK]	Patrik Holler [CZ]	W	19	9
Liliana Imrichová [SK]	Bolly Olufon [GB]	W	22	10
Liliana Imrichová [SK]	Mads Jensen [DK]	W	25	11
Liliana Imrichová [SK]	Marton Skjæveland [NO]	W	28	12
Liliana Imrichová [SK]	Jonathan Sharpling [GB]	W	31	13
Liliana Imrichová [SK]	Benjamin PHAM [NL]	T	32	14
Liliana Imrichová [SK]	Brent Coosemans [BE]	L	32	15
Sander Wojcik [NL]	Sen Caubergh [BE]	W	3	1
Sander Wojcik [NL]	Santiago Aurelio MONTESINOS RIAL [FR]	T	4	2
Sander Wojcik [NL]	Denis DONOT [FR]	W	7	3
Sander Wojcik [NL]	Adam Denk [CZ]	L	7	4
Sander Wojcik [NL]	Bryan Villa [FR]	W	10	5
Sander Wojcik [NL]	Yen Cheng Deehy [IE]	W	13	6
Sander Wojcik [NL]	Wang Hin Lau [GB]	W	16	7
Sander Wojcik [NL]	Filippo Mirci [IT]	W	19	8
Sander Wojcik [NL]	Quy Duc Dao [DE]	W	22	9
Sander Wojcik [NL]	Alessandro Cremascoli [IT]	W	25	10
Sander Wojcik [NL]	Brent Coosemans [BE]	T	26	11
Sander Wojcik [NL]	Piotr Orleański [PL]	L	26	12
Sander Wojcik [NL]	Aurélien Richard [CH]	W	29	13
Sander Wojcik [NL]	Sen Caubergh [BE]	W	32	14
Sander Wojcik [NL]	Mateusz Łaszkiewicz [PL]	L	32	15
Piotr Orleański [PL]	Anthony Coutinho [FR]	W	3	1
Piotr Orleański [PL]	Sarah Kanzi [DE]	W	6	2
Piotr Orleański [PL]	Philipp Hombach [DE]	L	6	3
Piotr Orleański [PL]	Denis Großmann [DE]	W	9	4
Piotr Orleański [PL]	Mateusz Rusinek [PL]	W	12	5
Piotr Orleański [PL]	Filippo Petrolli [IT]	W	15	6
Piotr Orleański [PL]	Ethan Chew [GB]	W	18	7
Piotr Orleański [PL]	Ruben van der Sluis [NL]	W	21	8
Piotr Orleański [PL]	Rudolf Hoffmann [DE]	W	24	9
Piotr Orleański [PL]	Pere Arbós Parets [ES]	L	24	10
Piotr Orleański [PL]	Logan Madden [GB]	W	27	11
Piotr Orleański [PL]	Sander Wojcik [NL]	W	30	12
Piotr Orleański [PL]	Magnus Pedersen [DK]	T	31	13
Piotr Orleański [PL]	Mateusz Łaszkiewicz [PL]	T	32	14
Piotr Orleański [PL]	Magnus Pedersen [DK]	L	32	15
Jamie Hindley [GB]	Joshua Vanoverschelde [BE]	W	3	1
Jamie Hindley [GB]	Sara Barbuto [IT]	W	6	2
Jamie Hindley [GB]	Manuel Jorach [DE]	T	7	3
Jamie Hindley [GB]	Guillaume Brioul [FR]	L	7	4
Jamie Hindley [GB]	Adam Balela [GB]	W	10	5
Jamie Hindley [GB]	Nicolas Magnoni [IT]	W	13	6
Jamie Hindley [GB]	Sai Fung Lau [GB]	W	16	7
Jamie Hindley [GB]	Viktor Fehér [HU]	W	19	8
Jamie Hindley [GB]	Dominik Blache [DE]	T	20	9
Jamie Hindley [GB]	Rudolf Hoffmann [DE]	W	23	10
Jamie Hindley [GB]	Pedro Eugenio Torres [ES]	W	26	11
Jamie Hindley [GB]	Sen Caubergh [BE]	W	29	12
Jamie Hindley [GB]	Jari Bonsee [NL]	L	29	13
Jamie Hindley [GB]	Ondřej Škubal [CZ]	W	32	14
Jamie Hindley [GB]	Jari Bonsee [NL]	L	32	15
Benjamin PHAM [NL]	Michal Truban [SK]	W	3	1
Benjamin PHAM [NL]	Sabrina Cugnier [FR]	W	6	2
Benjamin PHAM [NL]	Jiří Čech [CZ]	W	9	3
Benjamin PHAM [NL]	Alessandro Sanvito [IT]	W	12	4
Benjamin PHAM [NL]	Lucian Hargreaves [GB]	W	15	5
Benjamin PHAM [NL]	Logan Madden [GB]	L	15	6
Benjamin PHAM [NL]	Vianney Leroy [FR]	L	15	7
Benjamin PHAM [NL]	Shane Addy [GB]	W	18	8
Benjamin PHAM [NL]	Ethan Chew [GB]	T	19	9
Benjamin PHAM [NL]	Ruben van der Sluis [NL]	W	22	10
Benjamin PHAM [NL]	John Daniel [GB]	W	25	11
Benjamin PHAM [NL]	Patrik Bartošovič [CZ]	W	28	12
Benjamin PHAM [NL]	Lucian Hargreaves [GB]	W	31	13
Benjamin PHAM [NL]	Liliana Imrichová [SK]	T	32	14
Raz Wolpe [IL]	Maximilian Teubert [DE]	T	1	1
Raz Wolpe [IL]	Sebastian Poljak [DE]	W	4	2
Raz Wolpe [IL]	Antoine Betti [FR]	W	7	3
Raz Wolpe [IL]	JOEL NGUYEN [FR]	W	10	4
Raz Wolpe [IL]	Nicolas Magnoni [IT]	W	13	5
Raz Wolpe [IL]	Simone Soldo [IT]	W	16	6
Raz Wolpe [IL]	Alessandro Cremascoli [IT]	L	16	7
Raz Wolpe [IL]	Tim Iwens [BE]	W	19	8
Raz Wolpe [IL]	Brent Coosemans [BE]	L	19	9
Raz Wolpe [IL]	Marek Stolarik [SK]	W	22	10
Raz Wolpe [IL]	Paulo Mimoso [PT]	W	25	11
Raz Wolpe [IL]	Konsta Kallama [FI]	W	28	12
Raz Wolpe [IL]	Mateusz Łaszkiewicz [PL]	L	28	13
Raz Wolpe [IL]	Lucian Hargreaves [GB]	W	31	14
Christian Graziano [IT]	Magnus Kalland [NO]	L	0	1
Christian Graziano [IT]	Kent Pacheco [DE]	W	3	2
Christian Graziano [IT]	Adrian Fjell [NO]	W	6	3
Christian Graziano [IT]	Simon Kolbe [DE]	T	7	4
Christian Graziano [IT]	Giuseppe Ranno [IT]	W	10	5
Christian Graziano [IT]	giancarlo granata [IT]	W	13	6
Christian Graziano [IT]	Manuele Tartaglia [IT]	W	16	7
Christian Graziano [IT]	Djamiel Bechan [NL]	W	19	8
Christian Graziano [IT]	Alessandro Cremascoli [IT]	L	19	9
Christian Graziano [IT]	Stephan Nørregård [DK]	W	22	10
Christian Graziano [IT]	Dominik Malicki [PL]	W	25	11
Christian Graziano [IT]	Lucian Hargreaves [GB]	L	25	12
Christian Graziano [IT]	Andreas Møller [DK]	W	28	13
Christian Graziano [IT]	Niels Jürgensen [DE]	W	31	14
miloslav posledni [CZ]	Bruno Cuinet [FR]	W	3	1
miloslav posledni [CZ]	Bertrand Roy [FR]	T	4	2
miloslav posledni [CZ]	andrea Zorat [IT]	T	5	3
miloslav posledni [CZ]	Jasper van der Meulen [NL]	W	8	4
miloslav posledni [CZ]	Marton Skjæveland [NO]	W	11	5
miloslav posledni [CZ]	Corentin METGE [FR]	W	14	6
miloslav posledni [CZ]	Karel Maertens [BE]	W	17	7
miloslav posledni [CZ]	Kim Pobega [IT]	T	18	8
miloslav posledni [CZ]	Ruben van der Sluis [NL]	T	19	9
miloslav posledni [CZ]	Ethan Chew [GB]	W	22	10
miloslav posledni [CZ]	Kacper Mazurkiewicz [PL]	L	22	11
miloslav posledni [CZ]	Lukas Dellenbach [CH]	W	25	12
miloslav posledni [CZ]	Ewan West [GB]	W	28	13
miloslav posledni [CZ]	Patrik Bartošovič [CZ]	W	31	14
Konsta Kallama [FI]	Dominika Čapková [CZ]	W	3	1
Konsta Kallama [FI]	Malik Hisyam Zaihan [IE]	W	6	2
Konsta Kallama [FI]	Ondřej Škubal [CZ]	T	7	3
Konsta Kallama [FI]	Andrea Cividini [IT]	L	7	4
Konsta Kallama [FI]	Patryk Brzezinski [PL]	W	10	5
Konsta Kallama [FI]	Adam Denk [CZ]	W	13	6
Konsta Kallama [FI]	Stephan Nørregård [DK]	W	16	7
Konsta Kallama [FI]	Paulo Mimoso [PT]	W	19	8
Konsta Kallama [FI]	Matthias Luppa [DE]	L	19	9
Konsta Kallama [FI]	Cameron McDonald [GB]	W	22	10
Konsta Kallama [FI]	Lukas Dellenbach [CH]	W	25	11
Konsta Kallama [FI]	Raz Wolpe [IL]	L	25	12
Konsta Kallama [FI]	John Daniel [GB]	W	28	13
Konsta Kallama [FI]	Andrea Cividini [IT]	W	31	14
Timur Yusuf [GB]	Gilles Heyndrickx [BE]	W	3	1
Timur Yusuf [GB]	Stephen Roberts [GB]	W	6	2
Timur Yusuf [GB]	Ayline Alkan [NL]	W	9	3
Timur Yusuf [GB]	Mateusz Nowosiad [PL]	W	12	4
Timur Yusuf [GB]	Arthur Trutzschler [NL]	T	13	5
Timur Yusuf [GB]	Benjamin Rabaiotti [GB]	W	16	6
Timur Yusuf [GB]	Jonathan Sharpling [GB]	L	16	7
Timur Yusuf [GB]	Philipp Hombach [DE]	W	19	8
Timur Yusuf [GB]	Filippo Petrolli [IT]	T	20	9
Timur Yusuf [GB]	Stefano Bassis [IT]	W	23	10
Timur Yusuf [GB]	Jari Bonsee [NL]	L	23	11
Timur Yusuf [GB]	Edwyn Mesman [NL]	W	26	12
Timur Yusuf [GB]	Kacper Mazurkiewicz [PL]	T	27	13
Timur Yusuf [GB]	Djamiel Bechan [NL]	W	30	14
Ondřej Škubal [CZ]	Chris Craig [IE]	W	3	1
Ondřej Škubal [CZ]	Tetsu Watanabe [IT]	W	6	2
Ondřej Škubal [CZ]	Konsta Kallama [FI]	T	7	3
Ondřej Škubal [CZ]	Dario Scarnò [IT]	W	10	4
Ondřej Škubal [CZ]	Stefano Bassis [IT]	W	13	5
Ondřej Škubal [CZ]	Marco Facchin [IT]	L	13	6
Ondřej Škubal [CZ]	Annekathrin Saalmann [DE]	W	16	7
Ondřej Škubal [CZ]	Uffe Axelsen [DK]	W	19	8
Ondřej Škubal [CZ]	Nitish Doolub [GB]	W	22	9
Ondřej Škubal [CZ]	Matthias Luppa [DE]	W	25	10
Ondřej Škubal [CZ]	Pere Arbós Parets [ES]	W	28	11
Ondřej Škubal [CZ]	Magnus Pedersen [DK]	T	29	12
Ondřej Škubal [CZ]	Alessandro Cremascoli [IT]	T	30	13
Ondřej Škubal [CZ]	Jamie Hindley [GB]	L	30	14
Joe Bernard [GB]	Juri- Alexander Becker [DE]	W	3	1
Joe Bernard [GB]	Stéphane Gaubeen [FR]	W	6	2
Joe Bernard [GB]	Simone Soldo [IT]	T	7	3
Joe Bernard [GB]	Santiago Aurelio MONTESINOS RIAL [FR]	W	10	4
Joe Bernard [GB]	Aleksander Domek [PL]	W	13	5
Joe Bernard [GB]	Bryan de Vries [NL]	W	16	6
Joe Bernard [GB]	Kacper Mazurkiewicz [PL]	W	19	7
