Brent Tonisson [AU]	Dean Croaker [AU]	W	3	1
Brent Tonisson [AU]	Jimmy Farrugia [AU]	T	4	2
Brent Tonisson [AU]	Alan Shao [AU]	W	7	3
Brent Tonisson [AU]	Jorge Soria [AU]	W	10	4
Brent Tonisson [AU]	Jacob Sparks [AU]	W	13	5
Brent Tonisson [AU]	Tom Bourke [AU]	W	16	6
Brent Tonisson [AU]	Shane Quinn [AU]	W	19	7
Brent Tonisson [AU]	Chen Junhan [AU]	W	22	8
Brent Tonisson [AU]	MattheW Burris [AU]	T	23	9
Brent Tonisson [AU]	Christian Delloiaco [AU]	W	26	10
Brent Tonisson [AU]	Angus Johnson [AU]	W	29	11
Brent Tonisson [AU]	MattheW Burris [AU]	L	29	12
Brent Tonisson [AU]	Courtney Fox [AU]	W	32	13
Brent Tonisson [AU]	Jeremy Lℹ️m 🤟😎🤟 [AU]	T	33	14
Brent Tonisson [AU]	Shane Quinn [AU]	W	36	15
Brent Tonisson [AU]	Courtney Fox [AU]	W	39	16
Brent Tonisson [AU]	Jeremy Lℹ️m 🤟😎🤟 [AU]	W	42	17
Jeremy Lℹ️m 🤟😎🤟 [AU]	Alexander Cannavo [AU]	W	3	1
Jeremy Lℹ️m 🤟😎🤟 [AU]	Jacob McSpadden [AU]	W	6	2
Jeremy Lℹ️m 🤟😎🤟 [AU]	Joshua Sparks [AU]	W	9	3
Jeremy Lℹ️m 🤟😎🤟 [AU]	Yasuyuki Handa [AU]	W	12	4
Jeremy Lℹ️m 🤟😎🤟 [AU]	Jettano Posani [AU]	L	12	5
Jeremy Lℹ️m 🤟😎🤟 [AU]	Shane Quinn [AU]	T	13	6
Jeremy Lℹ️m 🤟😎🤟 [AU]	Adam Beale [AU]	W	16	7
Jeremy Lℹ️m 🤟😎🤟 [AU]	Derick Dao [AU]	W	19	8
Jeremy Lℹ️m 🤟😎🤟 [AU]	Courtney Fox [AU]	L	19	9
Jeremy Lℹ️m 🤟😎🤟 [AU]	Jeremy Evans [AU]	W	22	10
Jeremy Lℹ️m 🤟😎🤟 [AU]	Stefan Cocks [AU]	W	25	11
Jeremy Lℹ️m 🤟😎🤟 [AU]	Natalie Millar [AU]	W	28	12
Jeremy Lℹ️m 🤟😎🤟 [AU]	MattheW Burris [AU]	T	29	13
Jeremy Lℹ️m 🤟😎🤟 [AU]	Brent Tonisson [AU]	T	30	14
Jeremy Lℹ️m 🤟😎🤟 [AU]	MattheW Burris [AU]	W	33	15
Jeremy Lℹ️m 🤟😎🤟 [AU]	Angus Johnson [AU]	W	36	16
Jeremy Lℹ️m 🤟😎🤟 [AU]	Brent Tonisson [AU]	L	36	17
Angus Johnson [AU]	Blake Davies [AU]	W	3	1
Angus Johnson [AU]	Hayden Matthews [AU]	W	6	2
Angus Johnson [AU]	Christian Allen [AU]	W	9	3
Angus Johnson [AU]	Benjamin Hall [AU]	L	9	4
Angus Johnson [AU]	Tyler Bishop [AU]	W	12	5
Angus Johnson [AU]	Melinda McFadden [AU]	W	15	6
Angus Johnson [AU]	charles limbrick [AU]	W	18	7
Angus Johnson [AU]	Courtney Fox [AU]	T	19	8
Angus Johnson [AU]	Keegan Burt [AU]	W	22	9
Angus Johnson [AU]	Courtney Fox [AU]	W	25	10
Angus Johnson [AU]	Brent Tonisson [AU]	L	25	11
Angus Johnson [AU]	Ruben Cortez [AU]	W	28	12
Angus Johnson [AU]	Shane Quinn [AU]	W	31	13
Angus Johnson [AU]	MattheW Burris [AU]	T	32	14
Angus Johnson [AU]	James Williams [AU]	W	35	15
Angus Johnson [AU]	Jeremy Lℹ️m 🤟😎🤟 [AU]	L	35	16
Courtney Fox [AU]	Derick Dao [AU]	L	0	1
Courtney Fox [AU]	Jiahe Liang [AU]	W	3	2
Courtney Fox [AU]	Daniel Li [AU]	W	6	3
Courtney Fox [AU]	Joshua Martin [AU]	W	9	4
Courtney Fox [AU]	Vignesh Krishnan Krishnan [AU]	W	12	5
Courtney Fox [AU]	Mia Fountain [AU]	W	15	6
Courtney Fox [AU]	Keller Huang [AU]	W	18	7
Courtney Fox [AU]	Angus Johnson [AU]	T	19	8
Courtney Fox [AU]	Jeremy Lℹ️m 🤟😎🤟 [AU]	W	22	9
Courtney Fox [AU]	Angus Johnson [AU]	L	22	10
Courtney Fox [AU]	Chen Junhan [AU]	W	25	11
Courtney Fox [AU]	Hayden Matthews [AU]	W	28	12
Courtney Fox [AU]	Brent Tonisson [AU]	L	28	13
Courtney Fox [AU]	Natalie Millar [AU]	W	31	14
Courtney Fox [AU]	Jeremy Evans [AU]	W	34	15
Courtney Fox [AU]	Brent Tonisson [AU]	L	34	16
MattheW Burris [AU]	bailey rieck [AU]	W	3	1
MattheW Burris [AU]	Paul Ashton [AU]	W	6	2
MattheW Burris [AU]	Xiaoran Wu [AU]	W	9	3
MattheW Burris [AU]	Joshua Wilson [AU]	W	12	4
MattheW Burris [AU]	Mathew masefield [AU]	W	15	5
MattheW Burris [AU]	Keegan Burt [AU]	W	18	6
MattheW Burris [AU]	Chen Junhan [AU]	T	19	7
MattheW Burris [AU]	Christian Delloiaco [AU]	T	20	8
MattheW Burris [AU]	Brent Tonisson [AU]	T	21	9
MattheW Burris [AU]	Tom Bourke [AU]	W	24	10
MattheW Burris [AU]	Kelvin Nguyen [AU]	W	27	11
MattheW Burris [AU]	Brent Tonisson [AU]	W	30	12
MattheW Burris [AU]	Jeremy Lℹ️m 🤟😎🤟 [AU]	T	31	13
MattheW Burris [AU]	Angus Johnson [AU]	T	32	14
MattheW Burris [AU]	Jeremy Lℹ️m 🤟😎🤟 [AU]	L	32	15
Jeremy Evans [AU]	Benjamin Hall [AU]	L	0	1
Jeremy Evans [AU]	Jay Tyrrell [AU]	W	3	2
Jeremy Evans [AU]	Kieran Johnson [AU]	W	6	3
Jeremy Evans [AU]	Simon Williams [AU]	W	9	4
Jeremy Evans [AU]	Hayden Matthews [AU]	W	12	5
Jeremy Evans [AU]	Nathan Canty-Seghers [AU]	W	15	6
Jeremy Evans [AU]	Jake Cruwys [AU]	W	18	7
Jeremy Evans [AU]	Shang Jun Chua [AU]	T	19	8
Jeremy Evans [AU]	Christian Delloiaco [AU]	L	19	9
Jeremy Evans [AU]	Jeremy Lℹ️m 🤟😎🤟 [AU]	L	19	10
Jeremy Evans [AU]	Miguel Angelo Villar [AU]	W	22	11
Jeremy Evans [AU]	Shang Jun Chua [AU]	W	25	12
Jeremy Evans [AU]	Harrison Hodges [AU]	W	28	13
Jeremy Evans [AU]	Tom Bourke [AU]	W	31	14
Jeremy Evans [AU]	Courtney Fox [AU]	L	31	15
James Williams [AU]	Joshua Wilson [AU]	L	0	1
James Williams [AU]	Kenneth Peake [AU]	W	3	2
James Williams [AU]	Timothy Gallagher [AU]	W	6	3
James Williams [AU]	Derick Dao [AU]	L	6	4
James Williams [AU]	bailey rieck [AU]	W	9	5
James Williams [AU]	Kazuo Nakamura [AU]	W	12	6
James Williams [AU]	Joshua Glen [AU]	W	15	7
James Williams [AU]	Miguel Angelo Villar [AU]	L	15	8
James Williams [AU]	Jake Lazzari [AU]	W	18	9
James Williams [AU]	Stefan Cocks [AU]	L	18	10
James Williams [AU]	Max McInnis [AU]	W	21	11
James Williams [AU]	Sameer Sangwan [AU]	W	24	12
James Williams [AU]	Vignesh Krishnan Krishnan [AU]	W	27	13
James Williams [AU]	Ruben Cortez [AU]	W	30	14
James Williams [AU]	Angus Johnson [AU]	L	30	15
Shane Quinn [AU]	Jeremy Mora [AU]	W	3	1
Shane Quinn [AU]	Sameer Sangwan [AU]	W	6	2
Shane Quinn [AU]	Ben Anderson [AU]	W	9	3
Shane Quinn [AU]	Archie de Vries [AU]	W	12	4
Shane Quinn [AU]	Benjamin Hall [AU]	W	15	5
Shane Quinn [AU]	Jeremy Lℹ️m 🤟😎🤟 [AU]	T	16	6
Shane Quinn [AU]	Brent Tonisson [AU]	L	16	7
Shane Quinn [AU]	Kai Chung [AU]	L	16	8
Shane Quinn [AU]	Peter Seo [AU]	W	19	9
Shane Quinn [AU]	Keegan Burt [AU]	W	22	10
Shane Quinn [AU]	Tom Bourke [AU]	T	23	11
Shane Quinn [AU]	Billy Nguyen [AU]	W	26	12
Shane Quinn [AU]	Angus Johnson [AU]	L	26	13
Shane Quinn [AU]	Geoff Woodhead [NZ]	W	29	14
Shane Quinn [AU]	Brent Tonisson [AU]	L	29	15
Natalie Millar [AU]	Duy Le [AU]	W	3	1
Natalie Millar [AU]	ASADO QURESHI [AU]	W	6	2
Natalie Millar [AU]	Tyler Bishop [AU]	L	6	3
Natalie Millar [AU]	Jake Lazzari [AU]	W	9	4
Natalie Millar [AU]	Kai Chung [AU]	L	9	5
Natalie Millar [AU]	Julian Luvara [AU]	W	12	6
Natalie Millar [AU]	Ruben Cortez [AU]	W	15	7
Natalie Millar [AU]	Jake Cruwys [AU]	W	18	8
Natalie Millar [AU]	Miguel Angelo Villar [AU]	T	19	9
Natalie Millar [AU]	Tait Tran [AU]	W	22	10
Natalie Millar [AU]	Vignesh Krishnan Krishnan [AU]	W	25	11
Natalie Millar [AU]	Jeremy Lℹ️m 🤟😎🤟 [AU]	L	25	12
Natalie Millar [AU]	Hayden Matthews [AU]	W	28	13
Natalie Millar [AU]	Courtney Fox [AU]	L	28	14
Keegan Burt [AU]	DONGXU LI [AU]	W	3	1
Keegan Burt [AU]	Christofer Gozali [AU]	W	6	2
Keegan Burt [AU]	Jake Lazzari [AU]	W	9	3
Keegan Burt [AU]	Robin Sangwan [AU]	W	12	4
Keegan Burt [AU]	Melinda McFadden [AU]	W	15	5
Keegan Burt [AU]	MattheW Burris [AU]	L	15	6
Keegan Burt [AU]	Derick Dao [AU]	T	16	7
Keegan Burt [AU]	Tait Tran [AU]	W	19	8
Keegan Burt [AU]	Angus Johnson [AU]	L	19	9
Keegan Burt [AU]	Shane Quinn [AU]	L	19	10
Keegan Burt [AU]	Tait Tran [AU]	W	22	11
Keegan Burt [AU]	Harrison Hodges [AU]	L	22	12
Keegan Burt [AU]	Keller Huang [AU]	W	25	13
Keegan Burt [AU]	Hayden Matthews [AU]	W	28	14
Harrison Hodges [AU]	Ethan Cooper [AU]	W	3	1
Harrison Hodges [AU]	Kye Edmondston [AU]	W	6	2
Harrison Hodges [AU]	Joshua Courtney [AU]	W	9	3
Harrison Hodges [AU]	Jake Cruwys [AU]	L	9	4
Harrison Hodges [AU]	Billy Nguyen [AU]	L	9	5
Harrison Hodges [AU]	Kelvin Duong [AU]	W	12	6
Harrison Hodges [AU]	Melinda McFadden [AU]	T	13	7
Harrison Hodges [AU]	Max Prescott [AU]	W	16	8
Harrison Hodges [AU]	Derick Dao [AU]	W	19	9
Harrison Hodges [AU]	Vignesh Krishnan Krishnan [AU]	L	19	10
Harrison Hodges [AU]	Scott Langford [AU]	W	22	11
Harrison Hodges [AU]	Keegan Burt [AU]	W	25	12
Harrison Hodges [AU]	Jeremy Evans [AU]	L	25	13
Harrison Hodges [AU]	Christian Delloiaco [AU]	W	28	14
Tom Bourke [AU]	Alex Price [AU]	W	3	1
Tom Bourke [AU]	Jarrad Paxton [AU]	T	4	2
Tom Bourke [AU]	Stefan Cocks [AU]	W	7	3
Tom Bourke [AU]	Sebastian McFadden [AU]	W	10	4
Tom Bourke [AU]	Robert Seymour [AU]	W	13	5
Tom Bourke [AU]	Brent Tonisson [AU]	L	13	6
Tom Bourke [AU]	Max Prescott [AU]	W	16	7
Tom Bourke [AU]	Peter Seo [AU]	W	19	8
Tom Bourke [AU]	Kai Chung [AU]	W	22	9
Tom Bourke [AU]	MattheW Burris [AU]	L	22	10
Tom Bourke [AU]	Shane Quinn [AU]	T	23	11
Tom Bourke [AU]	Kelvin Nguyen [AU]	W	26	12
Tom Bourke [AU]	Chen Junhan [AU]	T	27	13
Tom Bourke [AU]	Jeremy Evans [AU]	L	27	14
Stefan Cocks [AU]	Peter Seo [AU]	W	3	1
Stefan Cocks [AU]	troy fisher [AU]	T	4	2
Stefan Cocks [AU]	Tom Bourke [AU]	L	4	3
Stefan Cocks [AU]	Blake Davies [AU]	T	5	4
Stefan Cocks [AU]	Corey Munro [AU]	W	8	5
Stefan Cocks [AU]	Jules klupsas [AU]	W	11	6
Stefan Cocks [AU]	Louis Pozzacchio [AU]	W	14	7
Stefan Cocks [AU]	Max McInnis [AU]	T	15	8
Stefan Cocks [AU]	Sineth Akmeemana [AU]	W	18	9
Stefan Cocks [AU]	James Williams [AU]	W	21	10
Stefan Cocks [AU]	Jeremy Lℹ️m 🤟😎🤟 [AU]	L	21	11
Stefan Cocks [AU]	Keller Huang [AU]	W	24	12
Stefan Cocks [AU]	Ruben Cortez [AU]	L	24	13
Stefan Cocks [AU]	Shang Jun Chua [AU]	W	27	14
Ruben Cortez [AU]	Alec Elhindi [AU]	W	3	1
Ruben Cortez [AU]	Sean Takemoto [AU]	W	6	2
Ruben Cortez [AU]	Joshua Wilson [AU]	L	6	3
Ruben Cortez [AU]	Darcy Miller [AU]	W	9	4
Ruben Cortez [AU]	Joshua Glen [AU]	L	9	5
Ruben Cortez [AU]	Yuanxu Li [AU]	W	12	6
Ruben Cortez [AU]	Natalie Millar [AU]	L	12	7
Ruben Cortez [AU]	Robin Sangwan [AU]	W	15	8
Ruben Cortez [AU]	Yufan Liu [AU]	W	18	9
Ruben Cortez [AU]	Max McInnis [AU]	W	21	10
Ruben Cortez [AU]	Kai Chung [AU]	W	24	11
Ruben Cortez [AU]	Angus Johnson [AU]	L	24	12
Ruben Cortez [AU]	Stefan Cocks [AU]	W	27	13
Ruben Cortez [AU]	James Williams [AU]	L	27	14
Kelvin Nguyen [AU]	Michael Chan [AU]	W	3	1
Kelvin Nguyen [AU]	yuhao xia [AU]	W	6	2
Kelvin Nguyen [AU]	Fareez Sanif [AU]	L	6	3
Kelvin Nguyen [AU]	Sam Clayfield [AU]	T	7	4
Kelvin Nguyen [AU]	Anas Somtua [AU]	W	10	5
Kelvin Nguyen [AU]	Sameer Sangwan [AU]	T	11	6
Kelvin Nguyen [AU]	Nick Bell [AU]	W	14	7
Kelvin Nguyen [AU]	Yasuyuki Handa [AU]	W	17	8
Kelvin Nguyen [AU]	Geoff Woodhead [NZ]	W	20	9
Kelvin Nguyen [AU]	Keller Huang [AU]	W	23	10
Kelvin Nguyen [AU]	MattheW Burris [AU]	L	23	11
Kelvin Nguyen [AU]	Tom Bourke [AU]	L	23	12
Kelvin Nguyen [AU]	Miguel Angelo Villar [AU]	W	26	13
Kelvin Nguyen [AU]	Chen Junhan [AU]	T	27	14
Sameer Sangwan [AU]	Corey Munro [AU]	W	3	1
Sameer Sangwan [AU]	Shane Quinn [AU]	L	3	2
Sameer Sangwan [AU]	Alex Crockford [AU]	T	4	3
Sameer Sangwan [AU]	Rui Crocitta [AU]	W	7	4
Sameer Sangwan [AU]	Chuyao Zhou [AU]	W	10	5
Sameer Sangwan [AU]	Kelvin Nguyen [AU]	T	11	6
Sameer Sangwan [AU]	Marco Giovannini [AU]	W	14	7
Sameer Sangwan [AU]	Qihan Zhang [AU]	W	17	8
Sameer Sangwan [AU]	Tim Franklin [AU]	T	18	9
Sameer Sangwan [AU]	Hayden Matthews [AU]	L	18	10
Sameer Sangwan [AU]	Mia Fountain [AU]	W	21	11
Sameer Sangwan [AU]	James Williams [AU]	L	21	12
Sameer Sangwan [AU]	Tait Tran [AU]	W	24	13
Sameer Sangwan [AU]	Kai Chung [AU]	W	27	14
Chen Junhan [AU]	Alistair Menzies [AU]	W	3	1
Chen Junhan [AU]	Timothy Gallagher [AU]	W	6	2
Chen Junhan [AU]	Brendan Cliffe [AU]	W	9	3
Chen Junhan [AU]	Adam Beale [AU]	W	12	4
Chen Junhan [AU]	Fareez Sanif [AU]	W	15	5
Chen Junhan [AU]	Jake Cruwys [AU]	W	18	6
Chen Junhan [AU]	MattheW Burris [AU]	T	19	7
Chen Junhan [AU]	Brent Tonisson [AU]	L	19	8
Chen Junhan [AU]	Keller Huang [AU]	L	19	9
Chen Junhan [AU]	Scott Langford [AU]	W	22	10
Chen Junhan [AU]	Courtney Fox [AU]	L	22	11
Chen Junhan [AU]	Christian Delloiaco [AU]	W	25	12
Chen Junhan [AU]	Tom Bourke [AU]	T	26	13
Chen Junhan [AU]	Kelvin Nguyen [AU]	T	27	14
Miguel Angelo Villar [AU]	Nick Bell [AU]	L	0	1
Miguel Angelo Villar [AU]	Zach Quince [AU]	W	3	2
Miguel Angelo Villar [AU]	Christian Hasbani [AU]	W	6	3
