Piper Lepine	Bert Wolters	W	3	1
Piper Lepine	Jiarui Shi	W	6	2
Piper Lepine	Seth Wagner	W	9	3
Piper Lepine	Grayson Lang	W	12	4
Piper Lepine	David Keener	W	15	5
Piper Lepine	James Markey	L	15	6
Piper Lepine	Jackson Davies	W	18	7
Piper Lepine	Tord Reklev	W	21	8
Piper Lepine	Grant Manley	W	24	9
Piper Lepine	Giancarlo Bortolon	W	27	10
Piper Lepine	Josh Fernando	W	30	11
Piper Lepine	Isaiah Bradner	L	30	12
Piper Lepine	Grant Manley	T	31	13
Piper Lepine	Alex Schemanske	T	32	14
Piper Lepine	Michael Catron	W	35	15
Piper Lepine	Charlie Lockyer	W	38	16
Piper Lepine	Caleb Gedemer	W	41	17
Piper Lepine	Christian LaBella	W	44	18
Christian LaBella	Connor Finton	W	3	1
Christian LaBella	Bodhi Tracy	W	6	2
Christian LaBella	Raymond Liu	L	6	3
Christian LaBella	Oliver Stark	W	9	4
Christian LaBella	Nick Dela Torre	W	12	5
Christian LaBella	Kidd Starck	T	13	6
Christian LaBella	VIP 13 - MIchael Bartlam	W	16	7
Christian LaBella	vincent gillette	W	19	8
Christian LaBella	Alexandre Gosselin	W	22	9
Christian LaBella	Collin Merli-Matthews	L	22	10
Christian LaBella	Darin O'Meara	T	23	11
Christian LaBella	Nicholas Moffitt	W	26	12
Christian LaBella	Grant Shen	W	29	13
Christian LaBella	Anthony Bruno	W	32	14
Christian LaBella	Lucas Xing	W	35	15
Christian LaBella	Grant Manley	W	38	16
Christian LaBella	Ciaran Farah	W	41	17
Christian LaBella	Piper Lepine	L	41	18
Caleb Gedemer	Brian South	W	3	1
Caleb Gedemer	Alex Quach	W	6	2
Caleb Gedemer	Harrison Dye	L	6	3
Caleb Gedemer	Miguel Arocho	W	9	4
Caleb Gedemer	Samir Srosh	W	12	5
Caleb Gedemer	Francis Theroux-petit	W	15	6
Caleb Gedemer	Noah Kumaczow	W	18	7
Caleb Gedemer	Rahul Reddy	L	18	8
Caleb Gedemer	Sebastian Crema	W	21	9
Caleb Gedemer	Kevin Ajolt Nguyen	W	24	10
Caleb Gedemer	Gabriel Smart	T	25	11
Caleb Gedemer	Giancarlo Bortolon	T	26	12
Caleb Gedemer	Thomas Happel	W	29	13
Caleb Gedemer	vincent gillette	W	32	14
Caleb Gedemer	Azul Garcia Griego	W	35	15
Caleb Gedemer	Jake Gearhart	W	38	16
Caleb Gedemer	Piper Lepine	L	38	17
Ciaran Farah	Ahmed Ali	T	1	1
Ciaran Farah	Emily Banta	W	4	2
Ciaran Farah	BILLY CHAN	W	7	3
Ciaran Farah	Noah Sakadjian	W	10	4
Ciaran Farah	Adam Kalamat	W	13	5
Ciaran Farah	Dillon Barta	W	16	6
Ciaran Farah	Zach Laska	W	19	7
Ciaran Farah	Isaiah Bradner	T	20	8
Ciaran Farah	Gabriel Smart	T	21	9
Ciaran Farah	James Markey	W	24	10
Ciaran Farah	Grant Manley	L	24	11
Ciaran Farah	Edward Khodaei	T	25	12
Ciaran Farah	Arjun Khadse	W	28	13
Ciaran Farah	Rogelio Espinoza	W	31	14
Ciaran Farah	Alex Schemanske	W	34	15
Ciaran Farah	Isaiah Bradner	W	37	16
Ciaran Farah	Christian LaBella	L	37	17
Isaiah Bradner	Joseph Nawal	W	3	1
Isaiah Bradner	Grant Shen	W	6	2
Isaiah Bradner	Suraj Aggarwal	W	9	3
Isaiah Bradner	Daniel Sheikh	W	12	4
Isaiah Bradner	Nicholas Hacquebord	W	15	5
Isaiah Bradner	Grant Manley	W	18	6
Isaiah Bradner	Gabriel Smart	T	19	7
Isaiah Bradner	Ciaran Farah	T	20	8
Isaiah Bradner	Jake Gearhart	W	23	9
Isaiah Bradner	ryan martindale	W	26	10
Isaiah Bradner	Daniel Zhou	W	29	11
Isaiah Bradner	Piper Lepine	W	32	12
Isaiah Bradner	Alex Schemanske	W	35	13
Isaiah Bradner	Jake Gearhart	T	36	14
Isaiah Bradner	Charlie Lockyer	T	37	15
Isaiah Bradner	Ciaran Farah	L	37	16
Jake Gearhart	Darren Lockett	W	3	1
Jake Gearhart	Christopher Chewning	W	6	2
Jake Gearhart	Nixon Cedillos	W	9	3
Jake Gearhart	Andrew Pospeshil	W	12	4
Jake Gearhart	Zach Laska	T	13	5
Jake Gearhart	Mikha Moryoussef	W	16	6
Jake Gearhart	Raymond Liu	W	19	7
Jake Gearhart	Gabriel Smart	T	20	8
Jake Gearhart	Isaiah Bradner	L	20	9
Jake Gearhart	Matt Tidd	W	23	10
Jake Gearhart	Matthew Farkas	W	26	11
Jake Gearhart	Daniel Lynch	W	29	12
Jake Gearhart	Fraser Cuviello	W	32	13
Jake Gearhart	Isaiah Bradner	T	33	14
Jake Gearhart	Rahul Reddy	W	36	15
Jake Gearhart	Caleb Gedemer	L	36	16
Grant Manley	Luis Carlo	W	3	1
Grant Manley	Brandon Fitzpatrick	W	6	2
Grant Manley	Matthew Wood	W	9	3
Grant Manley	Samir Srosh	W	12	4
Grant Manley	Jason Annichiarico	W	15	5
Grant Manley	Isaiah Bradner	L	15	6
Grant Manley	Matthew Farkas	W	18	7
Grant Manley	Peter Mairs	W	21	8
Grant Manley	Piper Lepine	L	21	9
Grant Manley	Garrett Williamson	W	24	10
Grant Manley	Ciaran Farah	W	27	11
Grant Manley	Daniel Zhou	W	30	12
Grant Manley	Piper Lepine	T	31	13
Grant Manley	Lucas Xing	T	32	14
Grant Manley	Daniel Altavilla	W	35	15
Grant Manley	Christian LaBella	L	35	16
Charlie Lockyer	Brad Brown	W	3	1
Charlie Lockyer	Alex McNeill	W	6	2
Charlie Lockyer	James Wesser	W	9	3
Charlie Lockyer	Edwin Arrollo	W	12	4
