Grant Hays [US]	MA Jihyeong [KR]	W	3	1
Grant Hays [US]	Garrett Williamson [US]	W	6	2
Grant Hays [US]	Shou Sakuma [JP]	W	9	3
Grant Hays [US]	AKIRA SATO [US]	T	10	4
Grant Hays [US]	Arthur VINCENT [FR]	W	13	5
Grant Hays [US]	SHINJI MORI [JP]	L	13	6
Grant Hays [US]	Elena Gómez [ES]	W	16	7
Grant Hays [US]	Jia-Hao Chen [TW]	W	19	8
Benedetta Todaro [IT]	Jonatan Arellano [ES]	W	3	1
Benedetta Todaro [IT]	Kim Pobega [IT]	W	6	2
Benedetta Todaro [IT]	Evan Lubeley [US]	W	9	3
Benedetta Todaro [IT]	Dalten Cross [US]	W	12	4
Benedetta Todaro [IT]	Marcelo Pacaje [CL]	T	13	5
Benedetta Todaro [IT]	Simone Canziani [IT]	L	13	6
Benedetta Todaro [IT]	Samantha Turner [AU]	W	16	7
Benedetta Todaro [IT]	Arjan Nagel [NL]	W	19	8
Javier Chelmes [CL]	Alejo Salvador [AR]	T	1	1
Javier Chelmes [CL]	Mung King Chan [HK]	W	4	2
Javier Chelmes [CL]	shinnosuke sato [JP]	L	4	3
Javier Chelmes [CL]	Corey Munro [AU]	W	7	4
Javier Chelmes [CL]	SIN YAN LIN [TW]	W	10	5
Javier Chelmes [CL]	Harrison Frazier [US]	W	13	6
Javier Chelmes [CL]	Christian D'Onofrio [IT]	W	16	7
Javier Chelmes [CL]	Lennart Timmers [NL]	W	19	8
Luke Burke [UK]	Sami Sekkoum [UK]	W	3	1
Luke Burke [UK]	Ryan Moorhouse [UK]	W	6	2
Luke Burke [UK]	Jia-Hao Chen [TW]	T	7	3
Luke Burke [UK]	David Cooper [US]	W	10	4
Luke Burke [UK]	Alessandro Frenda [IT]	W	13	5
Luke Burke [UK]	shinnosuke sato [JP]	L	13	6
Luke Burke [UK]	Jonas Xavier Soegiarto Dionisio [ID]	W	16	7
Luke Burke [UK]	Hunter Butler [US]	W	19	8
AKIRA SATO [US]	RYUTO HADANO [JP]	W	3	1
AKIRA SATO [US]	Tanner Caplinger [US]	W	6	2
AKIRA SATO [US]	Adam Denk [CZ]	W	9	3
AKIRA SATO [US]	Grant Hays [US]	T	10	4
AKIRA SATO [US]	FRANCISCO TORANZO [ES]	L	10	5
